,Controller,Reason,Date,Time,Corr,RPM,Pwr,TotRun,Q,PF,LChr,Gfrq,Vg1,Vg2,Vg3,Vg12,Vg23,Vg31,Ig1,Ig2,Ig3,Bfrq,Vb1,Vb2,Vb3,Vb12,Vb23,Vb31,FC,FMI,OC,SRO,VRO,UBat,CPUT,D+,OilP,Wtmp,Flev,BIN,BOUT,Mode,Erpm,Eflr,Eclt,Eint,Eoil,Einp,Eld,EA8,EA9,EA10,EA11,EA12,EA13,EBI1,EBI2,EBO1,GL16,DEFl,Soot,kWhour,EA14,EA15,EA16,EBO2,Reg16,CAN16
-32,C04 - SGC 1615,Time stamp,44551,1:39:00.3,0,1499,30,109,8,0.97,L,50,240,239,240,416,415,416,56,48,41,50,240,239,240,416,417,417,0,0,0,0.016,46.8,27.4,35.6,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1500,23.7,75,29,4.6,0.12,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10110100 00000000,,,,#####,#####,#####,0,,
-33,C01 - SGB 1603,Time stamp,44551,1:39:00.3,0,1499,25,106,7,0.96,L,50,240,240,240,415,416,416,43,36,42,50,240,240,240,417,417,417,0,0,0,0.058,53.1,27.9,47.3,28,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,16,85,40,4.08,0.04,12,#####,#####,#####,#####,#####,#####,1111,11000000,0,10110100 00000000,,,,,,,,,
-34,C03 - SGC 1618,Time stamp,44551,1:39:00.2,0,1500,28,108,7,0.97,L,50,240,239,240,414,415,416,63,53,48,50,239,240,239,416,417,417,0,0,0,0.032,48.1,27.4,40,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1500,22.9,75,27,4.96,0.12,#####,,,,,,,10111100,,11100,10110100 00000000,#####,#####,2896436,,,,,,
-35,C02 - SGC 1617,Time stamp,44551,1:39:00.1,0,1503,0,105,0,0, ,50.3,245,245,243,427,421,424,0,0,0,50,240,240,239,417,417,417,0,0,0,0,47.3,27.3,39,0,#####,#####,#####,10000000 1000,10010001 0111,MAN,1508,36,69,32,5.16,0.06,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10110100 00000000,#####,#####,2163338,#####,#####,#####,0,,
-36,C05 - SGC1616,SetpointChange,44551,1:38:23.7,0,T=MB2 CON(8315)=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-37,C05 - SGC1616,SetpointChange,44551,1:38:23.5,0,T=MB2 CON(8315)=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-38,C04 - SGC 1615,Loaded,44551,1:38:13.5,0,1500,29,106,4,0.99,L,50,240,239,240,415,415,416,58,48,46,50,239,239,240,416,418,416,0,0,0,0.07,46.8,27.4,35.6,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1499,23.5,74,29,4.6,0.1,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10110100 00000000,,,,#####,#####,#####,0,,
-39,C04 - SGC 1615,SetpointChange,44551,1:38:09.0,0,T=MB2 CON(8315)=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-40,C04 - SGC 1615,GCB closed,44551,1:38:02.6,0,1497,-6,108,4,-0.8,C,50,240,239,240,415,415,416,38,33,31,50,240,239,239,416,417,417,0,0,0,-0.052,47.1,27.4,35.6,0,#####,#####,#####,10100001 0000,10011001 0111,AUT,1501,22.7,74,29,4.64,0.08,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10100100 00000000,,,,#####,#####,#####,0,,
-41,C04 - SGC 1615,Soft load,44551,1:38:02.6,0,1497,-6,108,4,-0.84,C,50,240,239,240,416,415,416,51,45,45,50,240,239,239,416,417,417,0,0,0,-0.052,47.1,27.4,35.6,0,#####,#####,#####,10100001 0000,10011001 0111,AUT,1499,22.7,74,29,4.64,0.08,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10100100 00000000,,,,#####,#####,#####,0,,
