,Controller,Reason,Date,Time,Corr,RPM,Pwr,TotRun,Q,PF,LChr,Gfrq,Vg1,Vg2,Vg3,Vg12,Vg23,Vg31,Ig1,Ig2,Ig3,Bfrq,Vb1,Vb2,Vb3,Vb12,Vb23,Vb31,FC,FMI,OC,SRO,VRO,UBat,CPUT,D+,OilP,Wtmp,Flev,BIN,BOUT,Mode,Erpm,Eflr,Eclt,Eint,Eoil,Einp,Eld,EA8,EA9,EA10,EA11,EA12,EA13,EBI1,EBI2,EBO1,GL16,DEFl,Soot,kWhour,EA14,EA15,EA16,EBO2,Reg16,CAN16
-555,C07 - SGJ-1500,Time stamp,44551,0:30:00.3,0,1501,349,2469,254,0.81,L,50.1,241,240,240,416,415,417,586,617,600,50.1,241,239,239,418,417,418,0,0,0,0.104,54.4,27.9,43.4,28.2,,,,01100001 0000,01010001 0010,AUT,1502,84.7,87,41,4.04,1.3,64,38,#####,#####,27.5,,,11110000,,0,10111110 00000000,,,,,,,,,
-556,C05 - SGC1616,Time stamp,44551,0:30:00.1,0,1499,439,2471,302,0.82,L,50.1,240,240,239,415,414,416,765,717,699,50.1,240,240,239,417,416,417,0,0,0,-0.01,49.7,27.1,45.4,0.1,#####,#####,#####,10100000 0000,10010001 0111,AUT,1503,107.1,79,38,4.28,1.28,#####,,,,,,,10111100,,11100,10111110 00000000,,,2822960,,,,,,
-557,C06 - SGB 1601,Time stamp,44551,0:30:00.0,0,1503,426,2493,282,0.83,L,50,241,240,240,416,416,418,800,699,675,50,240,240,241,419,417,419,0,0,0,-0.004,52.7,28.3,53.2,28.2,#####,#####,49,10010000 0100,01001100 0011,AUT,1501,111,88,57,3.08,1.6,,,,,,,,,,,10111110 00000000,,,,,,,,11111110 00000000,11111110 00000000
-558,C04 - SGC 1615,Time stamp,44551,0:30:00.0,0,1502,452,2472,316,0.82,L,50,240,240,240,416,414,416,824,792,752,50,240,239,239,417,417,417,0,0,0,-0.008,47,27.4,35.6,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1502,105.8,78,33,4.08,1.22,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,,,,#####,#####,#####,0,,
-559,C03 - SGC 1618,Time stamp,44551,0:30:00.0,0,1501,458,2496,313,0.83,L,50,240,239,239,414,413,415,811,780,752,50,239,239,239,416,415,417,0,0,0,-0.018,47.3,27.4,41,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1501,109.2,78,33,4.4,1.28,#####,,,,,,,10111100,,11100,10111110 00000000,#####,#####,2896018,,,,,,
-560,C06 - SGB 1601,Time stamp,44551,0:29:00.3,0,1497,466,2986,341,0.81,L,49.9,240,239,240,415,415,418,886,774,749,50,240,239,241,419,417,419,0,0,0,0.246,52.4,28.3,53.2,28.2,#####,#####,48,10010000 0100,01001100 0011,AUT,1500,120.1,88,56,3.04,1.82,,,,,,,,,,,10111110 00000000,,,,,,,,11111110 00000000,11111110 00000000
-561,C04 - SGC 1615,Time stamp,44551,0:29:00.3,0,1499,527,2945,328,0.85,L,50,240,240,240,416,415,416,929,880,843,50,240,239,239,417,416,417,0,0,0,0.014,48,27.4,35.6,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1499,125.1,78,33,4.08,1.44,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,,,,#####,#####,#####,0,,
-562,C03 - SGC 1618,Time stamp,44551,0:29:00.3,0,1500,528,2948,319,0.86,L,50,240,239,239,414,413,415,910,878,842,50,239,239,239,416,415,417,0,0,0,0.038,47.7,27.4,41,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1501,122.6,78,33,4.36,1.48,#####,,,,,,,10111100,,11100,10111110 00000000,#####,#####,2896010,,,,,,
-563,C01 - SGB 1603,Time stamp,44551,0:29:00.3,0,1499,444,2948,306,0.82,L,50,240,241,240,416,415,417,844,775,825,50,239,240,240,417,417,418,0,0,0,0.066,53.7,27.9,47.8,27.9,#####,#####,#####,10010001 0100,01001100 0011,AUT,1504,126.9,89,50,3.76,1.64,86,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111110 00000000,,,,,,,,,
-564,C07 - SGJ-1500,Time stamp,44551,0:29:00.2,0,1500,462,2964,270,0.86,L,50,241,241,240,417,416,418,730,752,733,50,241,239,239,418,417,418,0,0,0,0.054,54.7,27.8,42.9,28.1,,,,01100001 0000,01010001 0010,AUT,1500,115,87,41,4,1.78,80,38,#####,#####,27.4,,,11110000,,0,10111110 00000000,,,,,,,,,
-565,C05 - SGC1616,Time stamp,44551,0:29:00.0,0,1499,534,2971,367,0.82,L,50,240,240,238,415,413,416,962,908,893,50,239,240,239,417,416,416,0,0,0,0.006,49.1,27.1,45.4,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1500,126.7,79,38,4.24,1.48,#####,,,,,,,10111100,,11100,10111110 00000000,,,2822952,,,,,,
-566,C03 - SGC 1618,Time stamp,44551,0:28:00.3,0,1499,459,2534,318,0.82,L,50,240,239,239,414,414,415,798,765,741,50,239,239,239,416,416,417,0,0,0,-0.02,47.2,27.4,41,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1501,109.7,78,32,4.44,1.28,#####,,,,,,,10111100,,11100,10111110 00000000,#####,#####,2896002,,,,,,
-567,C07 - SGJ-1500,Time stamp,44551,0:28:00.2,0,1502,346,2541,255,0.81,L,50,241,240,240,416,415,417,586,606,580,50,241,239,239,417,417,418,0,0,0,0.116,54.4,28,42.9,28.3,,,,01100001 0000,01010001 0010,AUT,1501,85.1,87,41,4.04,1.24,62,38,#####,#####,27.5,,,11110000,,0,10111110 00000000,,,,,,,,,
-568,C06 - SGB 1601,Time stamp,44551,0:28:00.2,0,1498,449,2535,277,0.85,L,50,241,240,241,416,416,419,801,699,679,50,240,240,241,419,418,419,0,0,0,-0.092,52.9,28.3,53.2,28.2,#####,#####,46,10010000 0100,01001100 0011,AUT,1499,116.2,88,56,3.08,1.76,,,,,,,,,,,10111110 00000000,,,,,,,,11111110 00000000,11111110 00000000
-569,C04 - SGC 1615,Time stamp,44551,0:28:00.2,0,1501,450,2540,320,0.81,L,50,240,239,240,416,414,416,793,747,722,50,240,239,239,417,416,417,0,0,0,0.018,46.8,27.4,35.6,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1500,108,78,33,4.16,1.22,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,,,,#####,#####,#####,0,,
-570,C01 - SGB 1603,Time stamp,44551,0:28:00.2,0,1503,354,2528,248,0.82,L,50,240,240,239,415,414,416,633,584,623,50,239,240,240,418,417,416,0,0,0,0.182,54.3,27.9,47.8,28,#####,#####,#####,10010001 0100,01001100 0011,AUT,1501,95.9,89,50,3.76,1.08,69,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111110 00000000,,,,,,,,,
-571,C05 - SGC1616,Time stamp,44551,0:28:00.0,0,1499,467,2536,297,0.84,L,50,239,239,239,414,413,416,813,744,722,50,240,240,239,417,415,417,0,0,0,0.002,49.9,27.1,44.9,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1500,111.4,79,38,4.32,1.28,#####,,,,,,,10111100,,11100,10111110 00000000,,,2822944,,,,,,
-572,C05 - SGC1616,Time stamp,44551,0:27:00.3,0,1500,485,2677,320,0.84,L,50,240,240,239,414,414,416,874,815,790,50,240,240,239,417,416,417,0,0,0,0.016,49.5,27.1,44.9,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1502,117.3,79,37,4.28,1.34,#####,,,,,,,10111100,,11100,10111110 00000000,,,2822936,,,,,,
-573,C06 - SGB 1601,Time stamp,44551,0:27:00.2,0,1502,440,2690,307,0.82,L,50,240,240,241,416,416,418,823,716,700,50,240,240,241,419,417,420,0,0,0,0.092,52.6,28.3,53.2,28.2,#####,#####,48,10010000 0100,01001100 0011,AUT,1498,114.2,88,55,3.08,1.66,,,,,,,,,,,10111110 00000000,,,,,,,,11111110 00000000,11111110 00000000
-574,C04 - SGC 1615,Time stamp,44551,0:27:00.2,0,1500,485,2687,314,0.84,L,50,240,239,240,416,414,416,843,809,773,50,240,239,239,417,417,417,0,0,0,0.028,47.6,27.4,35.6,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1501,115,78,33,4.12,1.3,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,,,,#####,#####,#####,0,,
-575,C03 - SGC 1618,Time stamp,44551,0:27:00.2,0,1500,476,2685,313,0.84,L,50,240,239,239,414,414,415,831,807,772,50,239,239,238,416,415,416,0,0,0,0.028,47.6,27.4,41,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1500,112,78,32,4.4,1.32,#####,,,,,,,10111100,,11100,10111110 00000000,#####,#####,2895994,,,,,,
-576,C01 - SGB 1603,Time stamp,44551,0:27:00.2,0,1501,402,2685,271,0.83,L,50,240,240,239,415,414,416,716,657,701,50,239,240,240,417,416,417,0,0,0,0.064,54.1,27.9,47.8,27.9,#####,#####,#####,10010001 0100,01001100 0011,AUT,1502,108,89,49,3.76,1.3,77,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111110 00000000,,,,,,,,,
-577,C07 - SGJ-1500,Time stamp,44551,0:27:00.1,0,1499,398,2689,261,0.84,L,50,241,240,240,416,415,417,660,689,658,50,241,239,239,418,417,417,0,0,0,0.066,54.6,28,42.9,28.3,,,,01100001 0000,01010001 0010,AUT,1500,98.5,87,40,4.04,1.48,70,38,#####,#####,27.4,,,11110000,,0,10111110 00000000,,,,,,,,,
-578,C05 - SGC1616,Time stamp,44551,0:26:00.3,0,1500,437,2568,291,0.83,L,50,239,240,239,414,413,415,772,733,707,50,239,239,239,417,416,416,0,0,0,0.044,49.7,27.1,44.9,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1500,107.9,78,37,4.32,1.34,#####,,,,,,,10111100,,11100,10111110 00000000,,,2822929,,,,,,
-579,C03 - SGC 1618,Time stamp,44551,0:26:00.2,0,1503,468,2551,307,0.84,L,50.1,240,239,239,414,414,415,829,789,762,50.1,239,240,239,416,416,417,0,0,0,0.028,47.6,27.4,41,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1502,109.3,78,32,4.52,1.32,#####,,,,,,,10111100,,11100,10111110 00000000,#####,#####,2895986,,,,,,
-580,C06 - SGB 1601,Time stamp,44551,0:26:00.1,0,1502,435,2552,279,0.84,L,50.1,241,240,241,417,416,419,809,702,681,50.1,241,240,241,420,417,420,0,0,0,0.142,52.5,28.3,53.2,28.2,#####,#####,49,10010000 0100,01001100 0011,AUT,1501,114,88,55,3.08,1.64,,,,,,,,,,,10111110 00000000,,,,,,,,11111110 00000000,11111110 00000000
-581,C04 - SGC 1615,Time stamp,44551,0:26:00.1,0,1501,456,2568,317,0.82,L,50.1,240,240,240,416,415,416,803,768,734,50.1,240,239,240,417,417,418,0,0,0,0.028,47.3,27.4,35.6,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1503,108.9,78,32,4.12,1.28,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,,,,#####,#####,#####,0,,
-582,C01 - SGB 1603,Time stamp,44551,0:26:00.1,0,1502,380,2575,246,0.84,L,50.1,240,241,240,415,415,416,644,594,633,50.1,239,240,240,417,417,417,0,0,0,-0.046,54.1,27.9,47.8,27.9,#####,#####,#####,10010001 0100,01001100 0011,AUT,1503,99.9,89,49,3.72,1.32,73,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111110 00000000,,,,,,,,,
-583,C07 - SGJ-1500,Time stamp,44551,0:26:00.0,0,1502,386,2577,258,0.83,L,50.1,241,240,240,416,415,417,634,666,639,50.1,241,240,240,417,418,418,0,0,0,0.052,54.6,27.8,42.9,28.1,,,,01100001 0000,01010001 0010,AUT,1503,92.3,87,40,4.04,1.5,69,38,#####,#####,27.5,,,11110000,,0,10111110 00000000,,,,,,,,,
-584,C07 - SGJ-1500,Time stamp,44551,0:25:00.2,0,1500,389,2588,244,0.85,L,50,241,240,240,416,415,417,630,661,635,50,241,239,239,418,417,418,0,0,0,0.072,54.6,27.9,42.9,28.1,,,,01100001 0000,01010001 0010,AUT,1499,96.5,87,40,4,1.4,68,38,#####,#####,27.6,,,11110000,,0,10111110 00000000,,,,,,,,,
-585,C05 - SGC1616,Time stamp,44551,0:25:00.2,0,1498,471,2598,320,0.83,L,50,239,240,239,414,414,416,824,774,750,50,240,240,239,417,416,417,0,0,0,0.004,49.5,27.1,44.9,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1499,112.5,78,37,4.32,1.28,#####,,,,,,,10111100,,11100,10111110 00000000,,,2822921,,,,,,
-586,C03 - SGC 1618,Time stamp,44551,0:25:00.1,0,1499,466,2609,300,0.84,L,50,240,239,239,414,413,414,814,786,757,50,239,239,238,416,414,416,0,0,0,0.024,47.6,27.4,41,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1498,110.4,78,32,4.52,1.3,#####,,,,,,,10111100,,11100,10111110 00000000,#####,#####,2895978,,,,,,
-587,C06 - SGB 1601,Time stamp,44551,0:25:00.0,0,1499,423,2607,299,0.82,L,50,240,240,240,416,415,418,809,704,681,50,240,239,241,419,417,419,0,0,0,0.08,52.6,28.3,53.2,28.2,#####,#####,47,10010000 0100,01001100 0011,AUT,1497,111.8,88,55,3.12,1.54,,,,,,,,,,,10111110 00000000,,,,,,,,11111110 00000000,11111110 00000000
-588,C04 - SGC 1615,Time stamp,44551,0:25:00.0,0,1500,462,2591,298,0.84,L,50,240,239,240,416,414,416,808,773,735,50,240,239,239,417,416,417,0,0,0,0.006,47.5,27.4,36.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1498,110.3,78,32,4.12,1.22,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,,,,#####,#####,#####,0,,
-589,C01 - SGB 1603,Time stamp,44551,0:25:00.0,0,1499,396,2587,261,0.84,L,50,240,240,240,415,415,416,702,648,683,50,240,240,240,417,416,417,0,0,0,0.094,54.2,27.9,47.3,27.9,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,107.1,89,49,3.8,1.26,76,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111110 00000000,,,,,,,,,
-590,C02 - SGC 1617,Ready,44551,0:24:17.1,0,0,0,2725,0,0, ,0,0,0,0,0,0,0,0,0,0,49.9,239,238,237,412,412,412,0,0,0,0,50,27.1,41,0,#####,#####,#####,10000000 1000,00000000 0001,AUT,#####,#####,#####,#####,#####,#####,#####,#####,#####,#####,#####,#####,#####,0,0,10000100,10111110 00000000,#####,#####,2163338,#####,#####,#####,0,,
-591,C06 - SGB 1601,Time stamp,44551,0:24:00.3,0,1498,415,2507,288,0.82,L,50,240,240,241,416,416,418,779,679,653,50,240,239,241,419,417,419,0,0,0,0.01,52.6,28.3,53.7,28.2,#####,#####,46,10010000 0100,01001100 0011,AUT,1498,110.4,88,55,3.12,1.48,,,,,,,,,,,10111110 00000000,,,,,,,,11111110 00000000,11111110 00000000
-592,C04 - SGC 1615,Time stamp,44551,0:24:00.3,0,1498,440,2513,297,0.83,L,50,240,239,240,416,414,416,773,736,704,50,240,239,239,417,416,417,0,0,0,0.012,47.2,27.4,36.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1498,105.4,77,32,4.16,1.2,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,,,,#####,#####,#####,0,,
-593,C03 - SGC 1618,Time stamp,44551,0:24:00.3,0,1497,449,2519,297,0.83,L,50,239,239,239,414,413,414,757,732,699,50,239,239,239,416,415,416,0,0,0,0.016,47.5,27.4,41,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1498,106.1,77,32,4.52,1.24,#####,,,,,,,10111100,,11100,10111110 00000000,#####,#####,2895971,,,,,,
-594,C01 - SGB 1603,Time stamp,44551,0:24:00.3,0,1498,377,2510,253,0.83,L,50,240,240,239,415,415,416,647,605,639,50,239,240,240,417,417,417,0,0,0,0.082,54.3,27.9,47.8,27.9,#####,#####,#####,10010001 0100,01001100 0011,AUT,1498,101.4,88,49,3.76,1.2,73,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111110 00000000,,,,,,,,,
-595,C07 - SGJ-1500,Time stamp,44551,0:24:00.2,0,1498,367,2521,239,0.84,L,49.9,240,240,240,415,414,416,595,618,600,49.9,241,239,239,417,416,417,0,0,0,0.09,54.4,28,42.9,28.3,,,,01100001 0000,01010001 0010,AUT,1499,90.2,87,40,4.04,1.26,66,38,#####,#####,27.5,,,11110000,,0,10111110 00000000,,,,,,,,,
-596,C05 - SGC1616,Time stamp,44551,0:24:00.0,0,1499,460,2505,307,0.83,L,50,239,239,239,414,413,415,816,767,754,50,239,239,239,416,415,416,0,0,0,-0.002,49.8,27.1,44.9,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1499,109.3,78,37,4.36,1.26,#####,,,,,,,10111100,,11100,10111110 00000000,,,2822913,,,,,,
-597,C02 - SGC 1617,Gen PMS stop,44551,0:23:53.8,0,1499,0,2475,0,0, ,50,241,241,241,419,417,419,0,0,0,50.1,239,238,237,414,414,414,0,0,0,0,50,27.4,41,0,#####,#####,#####,10000000 1000,10000001 0001,AUT,1501,20,76,29,4.88,0.1,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,#####,#####,2163338,#####,#####,#####,0,,
-598,C07 - SGJ-1500,Time stamp,44551,0:23:00.3,0,1499,380,2632,259,0.83,L,50,241,240,240,416,415,417,638,656,630,50,241,239,239,417,417,418,0,0,0,0.08,54.2,28,42.9,28.3,,,,01100001 0000,01010001 0010,AUT,1502,93.8,87,41,4.04,1.42,68,38,#####,#####,27.4,,,11110000,,0,10111110 00000000,,,,,,,,,
-599,C05 - SGC1616,Time stamp,44551,0:23:00.2,0,1499,471,2623,302,0.84,L,50,240,240,239,415,413,416,851,785,770,50,239,240,239,417,416,416,0,0,0,0.024,49.9,27.1,44.9,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1500,111.1,78,37,4.4,1.3,#####,,,,,,,10111100,,11100,10111110 00000000,,,2822906,,,,,,
-600,C03 - SGC 1618,Time stamp,44551,0:23:00.2,0,1501,482,2623,311,0.84,L,50,240,239,239,414,413,415,837,805,777,50,239,239,239,416,415,417,0,0,0,0.002,47.5,27.4,41,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1500,112.7,77,32,4.44,1.32,#####,,,,,,,10111100,,11100,10111110 00000000,#####,#####,2895963,,,,,,
-601,C06 - SGB 1601,Time stamp,44551,0:23:00.1,0,1502,448,2622,277,0.85,L,50,240,240,241,416,416,418,817,716,690,50,240,240,241,419,417,419,0,0,0,0.14,52.6,28.3,53.7,28.2,#####,#####,50,10010000 0100,01001100 0011,AUT,1498,116.2,88,55,3.12,1.7,,,,,,,,,,,10111110 00000000,,,,,,,,11111110 00000000,11111110 00000000
-602,C04 - SGC 1615,Time stamp,44551,0:23:00.1,0,1500,472,2619,319,0.83,L,50,240,240,240,416,415,416,828,792,753,50,240,239,240,416,417,417,0,0,0,0.024,47.2,27.4,35.6,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1500,111,77,32,4.28,1.26,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,,,,#####,#####,#####,0,,
-603,C02 - SGC 1617,Time stamp,44551,0:23:00.0,0,1501,0,2619,0,0, ,50,241,241,241,418,417,419,0,0,0,50,239,238,237,414,413,413,0,0,0,0,50,27.4,41,0,#####,#####,#####,10000000 1000,10000001 0001,AUT,1500,21.7,76,30,4.84,0.1,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,#####,#####,2163338,#####,#####,#####,0,,
-604,C01 - SGB 1603,Time stamp,44551,0:23:00.0,0,1499,378,2621,247,0.84,L,50,240,240,240,416,415,416,641,596,635,50,239,240,240,417,416,417,0,0,0,0.038,54.3,27.9,47.8,27.9,#####,#####,#####,10010001 0100,01001100 0011,AUT,1499,101.2,89,50,3.76,1.24,73,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111110 00000000,,,,,,,,,
-605,C02 - SGC 1617,Time stamp,44551,0:22:00.3,0,1500,0,2520,0,0, ,50.1,241,241,241,418,417,419,0,0,0,50,239,238,237,414,414,414,0,0,0,0,50,27.4,41,0,#####,#####,#####,10000000 1000,10000001 0001,AUT,1502,20.8,77,30,4.72,0.12,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,#####,#####,2163338,#####,#####,#####,0,,
-606,C01 - SGB 1603,Time stamp,44551,0:22:00.3,0,1502,372,2511,249,0.83,L,50,240,240,239,415,414,416,657,605,642,50,239,240,240,417,417,417,0,0,0,0.076,54.1,27.9,47.8,27.9,#####,#####,#####,10010001 0100,01001100 0011,AUT,1503,99.9,88,48,3.76,1.14,71,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111110 00000000,,,,,,,,,
-607,C07 - SGJ-1500,Time stamp,44551,0:22:00.2,0,1500,365,2504,247,0.83,L,50.1,241,240,240,417,415,417,611,642,611,50.1,241,239,239,417,417,418,0,0,0,0.072,53.9,27.9,42.4,28.2,,,,01100001 0000,01010001 0010,AUT,1502,89.3,87,40,4,1.34,65,38,#####,#####,27.5,,,11110000,,0,10111110 00000000,,,,,,,,,
-608,C05 - SGC1616,Time stamp,44551,0:22:00.1,0,1499,466,2553,293,0.85,L,50,239,239,239,414,413,415,780,730,708,50,239,239,239,416,415,416,0,0,0,-0.016,49.7,27.1,44.9,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1499,112.6,77,36,4.36,1.3,#####,,,,,,,10111100,,11100,10111110 00000000,,,2822898,,,,,,
-609,C03 - SGC 1618,Time stamp,44551,0:22:00.1,0,1502,444,2511,313,0.82,L,50,240,239,239,414,414,415,808,786,751,50,239,239,239,416,415,417,0,0,0,0.066,47.9,27.4,41,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1500,107.1,77,31,4.56,1.26,#####,,,,,,,10111100,,11100,10111110 00000000,#####,#####,2895956,,,,,,
-610,C06 - SGB 1601,Time stamp,44551,0:22:00.0,0,1502,439,2518,279,0.84,L,50.1,241,240,241,416,416,419,803,699,676,50.1,240,240,241,419,418,419,0,0,0,0.056,52.5,28.3,53.7,28.2,#####,#####,49,10010000 0100,01001100 0011,AUT,1502,115.1,88,52,3.12,1.66,,,,,,,,,,,10111110 00000000,,,,,,,,11111110 00000000,11111110 00000000
-611,C04 - SGC 1615,Time stamp,44551,0:22:00.0,0,1500,443,2541,315,0.81,L,50,240,240,240,416,415,416,777,742,712,50,240,239,239,416,416,417,0,0,0,0.054,47.4,27.4,36.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1500,105.3,76,32,4.2,1.2,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,,,,#####,#####,#####,0,,
-612,C02 - SGC 1617,GCB opened,44551,0:21:54.0,0,1497,1,2535,38,0.04,L,49.9,242,243,243,421,420,421,0,0,0,50,238,238,237,413,412,413,0,0,0,-0.656,40.9,27.4,41.4,0,#####,#####,#####,10000000 1000,10000101 0111,AUT,1496,20.5,78,30,4.76,0.24,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111110 00000000,#####,#####,2163338,#####,#####,#####,0,,
-613,C02 - SGC 1617,Cooling,44551,0:21:54.0,0,1497,1,2535,43,0.04,L,49.9,242,243,243,421,421,421,0,0,0,49.9,238,238,237,413,412,413,0,0,0,-0.656,40.8,27.4,41.4,0,#####,#####,#####,10000000 1000,10000101 0111,AUT,1497,20.5,78,30,4.76,0.24,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111110 00000000,#####,#####,2163338,#####,#####,#####,0,,
-614,C02 - SGC 1617,Soft unload,44551,0:21:40.7,0,1501,357,2382,252,0.82,L,50,239,239,239,415,414,416,646,634,594,50,240,239,238,416,415,416,0,0,0,0.014,46.4,27.4,41.4,0,#####,#####,#####,10100000 1000,10010001 0111,AUT,1500,90.5,78,31,4.6,0.88,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111110 00000000,#####,#####,2163337,#####,#####,#####,0,,
-615,C06 - SGB 1601,Time stamp,44551,0:21:00.3,0,1498,356,2544,251,0.82,L,49.9,240,240,240,416,415,417,683,595,575,49.9,240,239,240,418,417,418,0,0,0,-0.024,52.6,28.3,53.7,28.2,#####,#####,48,10010000 0100,01001100 0011,AUT,1495,100.9,88,51,3.16,1.1,,,,,,,,,,,11111110 00000000,,,,,,,,11111110 00000000,11111110 00000000
-616,C04 - SGC 1615,Time stamp,44551,0:21:00.3,0,1496,388,2539,255,0.84,L,49.9,240,239,240,416,414,415,682,650,630,49.9,240,239,239,416,416,416,0,0,0,0.01,47.2,27.4,36.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1497,95.4,76,31,4.24,1.02,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111110 00000000,,,,#####,#####,#####,0,,
-617,C03 - SGC 1618,Time stamp,44551,0:21:00.3,0,1496,398,2544,254,0.84,L,49.9,239,239,239,413,413,414,690,664,639,49.9,239,239,238,415,415,416,0,0,0,0.012,47.5,27.4,41.4,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1495,95.8,77,31,4.52,1.06,#####,,,,,,,10111100,,11100,11111110 00000000,#####,#####,2895949,,,,,,
-618,C07 - SGJ-1500,Time stamp,44551,0:21:00.2,0,1496,313,2539,210,0.83,L,49.9,240,240,240,415,414,416,527,559,536,49.9,240,239,239,417,416,417,0,0,0,0.102,54.3,27.9,42.4,28.1,,,,01100001 0000,01010001 0010,AUT,1497,77.4,87,40,4.12,1.02,58,38,#####,#####,27.6,,,11110000,,0,11111110 00000000,,,,,,,,,
-619,C02 - SGC 1617,Time stamp,44551,0:21:00.2,0,1495,380,2539,257,0.83,L,49.9,239,239,239,415,413,415,663,647,607,49.9,239,239,238,415,415,416,0,0,0,-0.004,46.6,27.4,41.4,0,#####,#####,#####,10100000 1000,10010001 0111,AUT,1496,94.9,78,31,4.6,0.88,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111110 00000000,#####,#####,2163333,#####,#####,#####,0,,
-620,C01 - SGB 1603,Time stamp,44551,0:21:00.2,0,1496,316,2514,214,0.83,L,49.9,240,240,239,415,414,416,553,503,538,49.9,239,240,240,417,416,417,0,0,0,0.116,54.3,27.9,47.8,27.9,#####,#####,#####,10010001 0100,01001100 0011,AUT,1496,85.7,88,47,3.76,0.88,63,#####,#####,#####,#####,#####,#####,1111,11000000,0,11111110 00000000,,,,,,,,,
-621,C05 - SGC1616,Time stamp,44551,0:21:00.1,0,1497,387,2500,276,0.81,L,49.9,239,240,239,414,414,415,710,672,651,49.9,239,240,239,417,416,416,0,0,0,0.004,49.6,27.1,44.9,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1498,94.3,77,36,4.4,1.04,#####,,,,,,,10111100,,11100,11111110 00000000,,,2822891,,,,,,
-622,C05 - SGC1616,Time stamp,44551,0:20:00.3,0,1502,395,2532,233,0.86,L,50.1,239,239,238,414,413,415,675,636,626,50.1,239,240,239,417,416,416,0,0,0,0,50,27.1,44.9,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1502,96.8,77,36,4.44,1.14,#####,,,,,,,10111100,,11100,11111110 00000000,,,2822885,,,,,,
-623,C03 - SGC 1618,Time stamp,44551,0:20:00.3,0,1502,375,2528,278,0.8,L,50.1,240,239,239,415,415,415,670,645,626,50.1,239,240,239,417,416,417,0,0,0,0.036,47.4,27.4,41.4,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1502,93.2,77,31,4.6,1.1,#####,,,,,,,10111100,,11100,11111110 00000000,#####,#####,2895942,,,,,,
