,Controller,Reason,Date,Time,Corr,RPM,Pwr,TotRun,Q,PF,LChr,Gfrq,Vg1,Vg2,Vg3,Vg12,Vg23,Vg31,Ig1,Ig2,Ig3,Bfrq,Vb1,Vb2,Vb3,Vb12,Vb23,Vb31,FC,FMI,OC,SRO,VRO,UBat,CPUT,D+,OilP,Wtmp,Flev,BIN,BOUT,Mode,Erpm,Eflr,Eclt,Eint,Eoil,Einp,Eld,EA8,EA9,EA10,EA11,EA12,EA13,EBI1,EBI2,EBO1,GL16,DEFl,Soot,kWhour,EA14,EA15,EA16,EBO2,VPI1,Reg16,CAN16
-505,C05 - SGP 1309,Time stamp,44409,15:58:00.3,0,1497,241,,266,0.67,L,49.9,246,247,244,425,424,425,489,489,477,49.9,247,246,245,428,428,427,0,0,0,0.07,69.2,27.9,64.9,27.1,#####,#####,#####,00000000 0011,10010010 0001,AUT,1496,58.6,87,55,4.44,0.58,46,51,#####,#####,27.4,#####,#####,11110000,0,0,,51,274,,#####,#####,#####,0,0,,
-506,C04 - SGC 1615,Time stamp,44409,15:58:00.3,0,1496,387,1669,401,0.69,L,49.9,243,243,243,421,420,421,815,797,784,49.9,243,242,242,422,422,423,0,0,0,-0.01,54.3,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1498,94.8,87,52,4.24,0.98,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-507,C03 - SGC 1618,Time stamp,44409,15:58:00.2,0,1495,385,1684,397,0.7,L,49.9,244,243,243,421,421,422,780,740,699,49.9,243,243,242,422,422,424,0,0,0,-0.02,56.1,27.3,60,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1496,96.6,84,49,3.96,1,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1992029,,,,,,,
-508,C06 - SGB 1601,Time stamp,44409,15:58:00.1,0,1499,352,1639,355,0.7,L,50,246,246,247,426,427,428,693,682,700,50,246,246,247,428,428,428,0,0,0,0.018,59.8,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1498,98.5,89,58,3.24,1.14,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-509,C01 - SGB 1603,Time stamp,44409,15:58:00.1,0,1499,313,1677,337,0.68,L,49.9,239,239,238,413,413,413,671,614,658,49.9,238,239,239,415,416,415,0,0,0,0.1,50.6,28,69.8,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1497,80.4,90,54,4.24,0.8,58,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-510,C04 - SGC 1615,Time stamp,44409,15:57:00.3,0,1503,395,1706,412,0.69,L,50.1,244,243,244,422,421,423,798,784,765,50.1,244,243,243,423,423,423,0,0,0,0.006,54.5,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1503,98.6,87,52,4.2,1.08,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-511,C06 - SGB 1601,Time stamp,44409,15:57:00.2,0,1501,364,1709,381,0.69,L,50.1,247,246,246,427,426,428,713,705,715,50.1,247,246,246,430,428,428,0,0,0,0.064,59.8,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1505,100.9,90,59,3.2,1.22,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-512,C03 - SGC 1618,Time stamp,44409,15:57:00.2,0,1502,387,1729,420,0.68,L,50.1,244,243,243,421,421,422,809,766,724,50.1,243,243,243,423,422,424,0,0,0,0.004,56.2,27.3,60,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1501,97.9,84,49,3.88,1.1,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1992023,,,,,,,
-513,C05 - SGP 1309,Time stamp,44409,15:57:00.1,0,1502,244,,254,0.69,L,50.1,246,247,244,426,424,425,479,488,473,50.1,247,246,245,429,428,427,0,0,0,0.032,69.8,27.9,64.9,26.8,#####,#####,#####,00000000 0011,10010010 0001,AUT,1502,58.2,87,55,4.4,0.7,46,51,#####,#####,27.5,#####,#####,11110000,0,0,,51,273,,#####,#####,#####,0,0,,
-514,C01 - SGB 1603,Time stamp,44409,15:57:00.0,0,1502,333,1749,347,0.69,L,50.1,239,240,240,414,415,415,689,639,681,50.1,239,239,240,417,416,417,0,0,0,0.056,50.4,28,69.8,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1501,83.8,90,54,4.28,0.98,62,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-515,C01 - SGB 1603,Time stamp,44409,15:56:00.3,0,1499,314,1690,348,0.67,L,50,240,240,239,415,414,415,675,619,668,50,239,240,239,417,416,416,0,0,0,0.098,50.5,28,70.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1498,81.5,90,54,3.88,0.82,59,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-516,C06 - SGB 1601,Time stamp,44409,15:56:00.2,0,1497,363,1708,355,0.72,L,49.9,247,246,247,427,427,428,691,679,693,49.9,246,246,246,430,429,429,0,0,0,-0.008,59.9,28.2,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,100.4,90,59,3.2,1.2,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-517,C04 - SGC 1615,Time stamp,44409,15:56:00.2,0,1499,387,1707,404,0.69,L,49.9,244,243,243,423,420,422,796,784,758,49.9,243,242,243,422,423,423,0,0,0,-0.006,54.4,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1497,95.6,87,52,4.2,1,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-518,C05 - SGP 1309,Time stamp,44409,15:56:00.1,0,1500,248,,267,0.68,L,50,246,247,245,426,425,426,501,509,491,50,248,246,246,429,428,430,0,0,0,0.05,69.6,27.9,64.9,27,#####,#####,#####,00000000 0011,10010010 0001,AUT,1499,59.6,87,55,4.4,0.64,47,51,#####,#####,27.7,#####,#####,11110000,0,0,,51,277,,#####,#####,#####,0,0,,
-519,C03 - SGC 1618,Time stamp,44409,15:56:00.1,0,1498,390,1698,402,0.7,L,50,244,243,244,422,422,423,809,760,722,50,243,243,243,423,422,424,0,0,0,0.016,56.3,27.3,59.5,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1497,97.1,84,49,3.88,1.06,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1992016,,,,,,,
-520,C05 - SGP 1309,Time stamp,44409,15:55:00.3,0,1501,242,,247,0.7,L,50.1,246,247,245,426,425,426,474,483,468,50.1,247,246,246,429,428,429,0,0,0,0.046,69.4,28.2,64.9,26.9,#####,#####,#####,00000000 0011,10010010 0001,AUT,1503,59.4,87,54,4.44,0.68,47,51,#####,#####,27.7,#####,#####,11110000,0,0,,51,277,,#####,#####,#####,0,0,,
-521,C01 - SGB 1603,Time stamp,44409,15:55:00.3,0,1498,325,1740,340,0.69,L,50,239,240,240,414,415,415,664,608,656,50,238,239,239,416,415,416,0,0,0,0.05,50.4,28,70.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,82.1,90,54,3.92,0.96,62,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-522,C06 - SGB 1601,Time stamp,44409,15:55:00.1,0,1501,362,1715,369,0.7,L,50,246,246,247,426,426,428,708,697,717,50,246,245,246,429,428,429,0,0,0,0.058,59.8,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1499,100.7,90,58,3.2,1.2,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-523,C04 - SGC 1615,Time stamp,44409,15:55:00.1,0,1502,394,1706,405,0.7,L,50,243,243,244,421,420,422,815,794,782,50,243,243,242,423,423,422,0,0,0,-0.004,54.3,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1500,97.4,87,51,4.24,1.06,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-524,C03 - SGC 1618,Time stamp,44409,15:55:00.1,0,1498,386,1719,406,0.69,L,50,244,243,243,421,421,422,809,756,725,50,243,243,243,423,422,424,0,0,0,0.02,56.1,27.3,60,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1500,97.4,84,49,3.92,1.08,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1992010,,,,,,,
-525,C05 - SGP 1309,Time stamp,44409,15:54:00.3,0,1496,246,,258,0.69,L,49.9,246,247,244,426,424,425,486,489,473,49.9,247,246,245,428,429,428,0,0,0,0.058,69.3,28,64.9,26.6,#####,#####,#####,00000000 0011,10010010 0001,AUT,1496,60.5,87,54,4.44,0.6,47,51,#####,#####,27.7,#####,#####,11110000,0,0,,51,277,,#####,#####,#####,0,0,,
-526,C03 - SGC 1618,Time stamp,44409,15:54:00.3,0,1496,387,1714,398,0.7,L,49.9,244,243,243,422,421,422,794,742,714,49.9,243,243,243,423,423,424,0,0,0,0.014,56.1,27.3,59.5,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1496,97.3,84,49,3.96,1.02,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1992003,,,,,,,
-527,C04 - SGC 1615,Time stamp,44409,15:54:00.2,0,1496,392,1702,397,0.7,L,49.9,243,243,243,421,420,422,772,766,750,49.9,243,243,243,422,423,423,0,0,0,-0.018,54.3,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1497,98.7,87,52,4.2,1.02,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-528,C01 - SGB 1603,Time stamp,44409,15:54:00.2,0,1499,309,1658,336,0.68,L,50,240,240,239,414,414,415,661,605,649,50,239,239,240,416,416,417,0,0,0,0.062,50.4,28,69.8,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,77.9,90,54,4.12,0.88,59,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-529,C06 - SGB 1601,Time stamp,44409,15:54:00.1,0,1498,363,1708,351,0.72,L,49.9,247,246,246,426,426,428,691,674,695,49.9,246,245,246,429,427,429,0,0,0,0.016,59.8,28.2,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1495,99.6,89,59,3.2,1.18,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-530,C05 - SGP 1309,Time stamp,44409,15:53:00.3,0,1500,233,,243,0.69,L,50,245,247,244,425,424,425,459,468,452,50,247,246,246,428,428,428,0,0,0,0.068,69.5,28.1,64.9,26.8,#####,#####,#####,00000000 0011,10010010 0001,AUT,1500,56,87,55,4.32,0.62,44,51,#####,#####,27.7,#####,#####,11110000,0,0,,51,277,,#####,#####,#####,0,0,,
-531,C03 - SGC 1618,Time stamp,44409,15:53:00.3,0,1501,375,1642,404,0.68,L,50,244,243,243,421,421,422,816,768,734,50,243,243,243,423,422,424,0,0,0,0.016,56.1,27.3,59.5,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1500,92.7,84,49,3.96,1.02,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1991996,,,,,,,
-532,C01 - SGB 1603,Time stamp,44409,15:53:00.2,0,1501,311,1666,334,0.68,L,50.1,239,239,239,414,413,414,659,604,645,50.1,239,239,239,416,416,416,0,0,0,0.07,50.5,28,70.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,79.1,90,54,4.28,0.88,58,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-533,C06 - SGB 1601,Time stamp,44409,15:53:00.0,0,1503,363,1634,365,0.7,L,50,246,246,246,427,426,427,707,699,713,50,246,245,246,429,428,428,0,0,0,-0.03,59.9,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1501,99.8,90,59,3.2,1.18,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-534,C04 - SGC 1615,Time stamp,44409,15:53:00.0,0,1499,372,1661,402,0.68,L,50,243,243,243,422,420,422,737,722,710,50,243,243,243,422,423,423,0,0,0,-0.018,54.3,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1499,95.2,87,51,4.2,1.02,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-535,C06 - SGB 1601,Time stamp,44409,15:52:00.3,0,1501,361,1728,354,0.71,L,50,247,246,247,428,427,429,690,677,692,50,247,246,247,430,428,429,0,0,0,0.08,60,28.2,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1499,100.1,89,58,3.2,1.18,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-536,C03 - SGC 1618,Time stamp,44409,15:52:00.2,0,1499,398,1715,390,0.72,L,50,244,243,244,422,422,423,819,770,734,50,243,243,243,423,423,424,0,0,0,-0.006,56.1,27.3,59.5,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1500,97.8,84,49,3.96,1.1,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1991990,,,,,,,
-537,C05 - SGP 1309,Time stamp,44409,15:52:00.1,0,1500,246,,253,0.7,L,50,246,247,245,426,425,426,483,494,478,50,247,246,246,429,429,429,0,0,0,0.056,69.3,27.9,64.9,26.7,#####,#####,#####,00000000 0011,10010010 0001,AUT,1500,58.8,87,54,4.28,0.66,46,51,#####,#####,27.3,#####,#####,11110000,0,0,,51,273,,#####,#####,#####,0,0,,
-538,C04 - SGC 1615,Time stamp,44409,15:52:00.1,0,1502,398,1720,389,0.72,L,50,243,244,244,422,421,422,813,794,777,50,243,243,243,423,423,423,0,0,0,-0.014,54.4,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1500,98.4,87,51,4.16,1.04,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-539,C01 - SGB 1603,Time stamp,44409,15:52:00.1,0,1500,322,1724,336,0.69,L,50,239,240,239,414,414,415,669,615,661,50,238,239,239,416,417,416,0,0,0,0.072,50.6,28,70.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1498,82.5,90,54,4,0.9,60,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-540,C06 - SGB 1601,Time stamp,44409,15:51:00.3,0,1496,362,1702,354,0.72,L,49.9,247,245,246,426,425,428,685,680,692,49.9,246,245,246,429,427,429,0,0,0,0.036,59.7,28.2,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1497,99.9,90,58,3.24,1.2,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-541,C04 - SGC 1615,Time stamp,44409,15:51:00.3,0,1498,392,1689,396,0.7,L,50,244,243,243,422,420,422,777,768,750,50,244,242,243,422,422,423,0,0,0,-0.032,54.2,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1499,96.7,87,52,4.2,1.02,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-542,C03 - SGC 1618,Time stamp,44409,15:51:00.2,0,1497,390,1693,397,0.7,L,49.9,244,243,243,421,421,422,811,758,717,49.9,243,244,243,423,422,423,0,0,0,0.008,56,27.3,59.5,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1497,94.2,84,49,3.96,1.04,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1991983,,,,,,,
-543,C05 - SGP 1309,Time stamp,44409,15:51:00.1,0,1498,234,,239,0.7,L,50,246,247,244,426,424,424,456,461,450,50,247,246,245,429,428,428,0,0,0,0.094,69.3,27.9,64.9,26.7,#####,#####,#####,00000000 0011,10010010 0001,AUT,1498,57.9,87,55,4.44,0.62,44,51,#####,#####,27.5,#####,#####,11110000,0,0,,51,275,,#####,#####,#####,0,0,,
-544,C01 - SGB 1603,Time stamp,44409,15:51:00.1,0,1499,308,1672,336,0.67,L,50,239,240,239,414,414,414,648,595,641,50,239,239,239,416,416,416,0,0,0,0.072,50.3,28,70.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,74.9,90,54,3.88,0.92,58,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-545,C05 - SGP 1309,Time stamp,44409,15:50:00.3,0,1496,253,,232,0.74,L,49.9,246,247,244,426,424,425,473,476,462,49.9,247,246,245,429,429,427,0,0,0,0.024,70.2,27.9,64.9,27,#####,#####,#####,00000000 0011,10010010 0001,AUT,1496,60.3,88,55,4.36,0.68,48,51,#####,#####,27.7,#####,#####,11110000,0,0,,51,277,,#####,#####,#####,0,0,,
-546,C04 - SGC 1615,Time stamp,44409,15:50:00.3,0,1497,399,1711,391,0.72,L,49.9,243,242,243,421,420,422,788,774,755,49.9,243,242,242,422,422,423,0,0,0,0,54.2,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1496,98,88,52,4.2,1.02,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-547,C01 - SGB 1603,Time stamp,44409,15:50:00.3,0,1499,315,1686,332,0.69,L,49.9,239,239,239,414,414,415,655,608,649,49.9,239,239,239,416,415,416,0,0,0,0.07,50.4,28,70.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1498,80.9,90,55,4.28,0.88,60,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-548,C06 - SGB 1601,Time stamp,44409,15:50:00.2,0,1496,355,1717,365,0.7,L,49.9,246,246,246,426,426,428,676,671,689,49.9,246,245,246,428,427,428,0,0,0,0.07,59.7,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1495,98.9,90,59,3.2,1.14,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-549,C03 - SGC 1618,Time stamp,44409,15:50:00.1,0,1499,387,1692,396,0.7,L,49.9,244,243,243,421,421,422,806,761,719,49.9,243,243,243,423,422,424,0,0,0,-0.006,56,27.3,59.5,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1498,96,84,49,3.96,1.04,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1991977,,,,,,,
-550,C05 - SGP 1309,Time stamp,44409,15:49:00.3,0,1499,246,,253,0.7,L,50,246,246,244,425,424,425,478,483,467,50,247,246,245,428,428,428,0,0,0,0.07,70.2,28,64.9,26.9,#####,#####,#####,00000000 0011,10010010 0001,AUT,1499,58.6,88,55,4.28,0.68,46,51,#####,#####,27.4,#####,#####,11110000,0,0,,51,274,,#####,#####,#####,0,0,,
-551,C01 - SGB 1603,Time stamp,44409,15:49:00.3,0,1499,322,1734,350,0.68,L,50,239,240,239,414,414,414,678,623,667,50,239,240,239,417,416,415,0,0,0,0.064,50.3,28,69.8,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1499,80.6,90,55,3.88,0.94,60,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-552,C06 - SGB 1601,Time stamp,44409,15:49:00.2,0,1498,371,1731,375,0.7,L,50,247,246,246,427,426,427,714,702,724,50,246,246,246,430,428,428,0,0,0,0.018,59.8,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1502,101.4,90,59,3.2,1.26,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-553,C04 - SGC 1615,Time stamp,44409,15:49:00.2,0,1502,404,1723,414,0.7,L,50,243,243,244,421,421,422,831,807,787,50,244,242,243,422,422,423,0,0,0,-0.01,54.4,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1498,98,88,52,4.2,1.06,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-554,C03 - SGC 1618,Time stamp,44409,15:49:00.0,0,1499,393,1737,414,0.69,L,50,244,243,243,421,420,422,811,775,738,50,243,243,243,423,422,424,0,0,0,-0.004,56.3,27.3,59.5,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1498,95.7,85,49,3.96,1.06,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1991970,,,,,,,
-555,C05 - SGP 1309,Time stamp,44409,15:48:00.3,0,1499,264,,274,0.69,L,49.9,246,246,244,425,424,425,522,524,511,49.9,247,246,245,429,428,428,0,0,0,0.068,69.6,27.9,64.9,26.6,#####,#####,#####,00000000 0011,10010010 0001,AUT,1497,62.8,88,55,4.32,0.68,48,51,#####,#####,27.6,#####,#####,11110000,0,0,,51,276,,#####,#####,#####,0,0,,
-556,C03 - SGC 1618,Time stamp,44409,15:48:00.3,0,1499,416,1806,417,0.71,L,50,244,243,243,422,421,422,847,803,759,50,243,244,243,424,423,424,0,0,0,-0.006,56.5,27.3,59.5,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1498,101.8,85,49,3.88,1.12,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1991964,,,,,,,
-557,C04 - SGC 1615,Time stamp,44409,15:48:00.2,0,1497,413,1812,420,0.7,L,49.9,243,243,244,421,421,422,808,799,776,49.9,243,242,243,422,422,423,0,0,0,-0.012,54.6,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1498,99.7,88,52,4.24,1.08,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-558,C01 - SGB 1603,Time stamp,44409,15:48:00.2,0,1499,332,1778,357,0.68,L,50,240,240,239,415,414,414,701,649,692,50,238,240,239,416,416,415,0,0,0,0.068,50.4,28,70.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,85.5,90,55,3.88,0.98,62,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-559,C06 - SGB 1601,Time stamp,44409,15:48:00.1,0,1497,386,1809,371,0.72,L,49.9,246,246,246,427,426,427,736,718,734,49.9,246,245,246,429,428,428,0,0,0,0.062,59.8,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,103.6,90,59,3.2,1.32,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-560,C03 - SGC 1618,Time stamp,44409,15:47:00.2,0,1495,405,1736,394,0.72,L,49.9,244,243,243,421,421,422,813,773,731,49.9,243,243,243,423,422,424,0,0,0,-0.004,56.3,27.3,59.5,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1497,99.8,85,49,3.92,1.06,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1991957,,,,,,,
-561,C06 - SGB 1601,Time stamp,44409,15:47:00.1,0,1499,365,1727,348,0.72,L,49.9,246,246,246,426,426,428,680,673,686,49.9,246,245,246,429,427,429,0,0,0,0.064,59.8,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1498,101,90,59,3.2,1.18,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-562,C05 - SGP 1309,Time stamp,44409,15:47:00.1,0,1497,246,,264,0.68,L,49.9,246,247,244,426,424,425,497,506,488,49.9,247,246,245,429,429,428,0,0,0,0.066,69.5,28.1,64.9,26.8,#####,#####,#####,00000000 0011,10010010 0001,AUT,1498,59.8,88,55,4.4,0.62,47,51,#####,#####,27.4,#####,#####,11110000,0,0,,51,274,,#####,#####,#####,0,0,,
-563,C04 - SGC 1615,Time stamp,44409,15:47:00.1,0,1497,397,1717,396,0.71,L,49.9,244,243,244,422,421,423,780,769,753,49.9,244,242,243,423,423,423,0,0,0,-0.01,54.4,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1498,98.2,87,51,4.16,1.02,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-564,C01 - SGB 1603,Time stamp,44409,15:47:00.1,0,1498,305,1667,338,0.67,L,49.9,239,240,239,413,414,415,654,607,648,49.9,239,239,240,415,416,416,0,0,0,0.072,50.5,28,70.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,77,90,55,4.16,0.86,58,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-565,C06 - SGB 1601,Time stamp,44409,15:46:00.3,0,1503,376,1738,378,0.7,L,50.1,247,246,247,427,427,428,734,719,740,50.1,247,246,246,430,427,429,0,0,0,0.034,59.8,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1501,102.2,90,59,3.2,1.3,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-566,C03 - SGC 1618,Time stamp,44409,15:46:00.2,0,1500,392,1747,418,0.68,L,50,244,243,243,421,420,423,824,780,746,50,243,243,242,424,422,424,0,0,0,0.028,56.2,27.3,59.5,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1500,97.4,84,49,3.96,1.1,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1991950,,,,,,,
-567,C05 - SGP 1309,Time stamp,44409,15:46:00.1,0,1501,251,,266,0.69,L,50,246,247,244,426,424,426,496,502,491,50,247,246,245,428,428,429,0,0,0,0.038,70.1,27.9,64.9,26.7,#####,#####,#####,00000000 0011,10010010 0001,AUT,1501,60.1,87,55,4.2,0.7,47,51,#####,#####,27.4,#####,#####,11110000,0,0,,51,274,,#####,#####,#####,0,0,,
-568,C04 - SGC 1615,Time stamp,44409,15:46:00.1,0,1501,389,1746,418,0.68,L,50.1,243,243,243,422,420,422,798,781,772,50.1,243,243,243,423,423,423,0,0,0,0.014,54.4,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1502,97.9,87,51,4.16,1.08,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-569,C01 - SGB 1603,Time stamp,44409,15:46:00.1,0,1503,338,1753,357,0.69,L,50.1,240,240,240,414,415,416,719,662,712,50.1,239,239,240,416,416,417,0,0,0,0.052,50.3,28,70.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1505,83.2,90,55,4.2,1,64,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-570,C06 - SGB 1601,Time stamp,44409,15:45:00.3,0,1502,374,1691,365,0.72,L,50,246,246,246,427,427,428,719,702,720,50,247,246,247,430,429,430,0,0,0,-0.048,59.8,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,102,90,59,3.2,1.26,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-571,C04 - SGC 1615,Time stamp,44409,15:45:00.3,0,1499,383,1674,411,0.68,L,50.1,244,244,244,424,423,424,758,756,735,50.1,244,243,244,423,424,424,0,0,0,-0.006,54.3,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1503,99.1,87,51,4.2,1.06,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
