,Controller,Reason,Date,Time,Corr,RPM,Pwr,TotRun,Q,PF,LChr,Gfrq,Vg1,Vg2,Vg3,Vg12,Vg23,Vg31,Ig1,Ig2,Ig3,Bfrq,Vb1,Vb2,Vb3,Vb12,Vb23,Vb31,FC,FMI,OC,SRO,VRO,UBat,CPUT,D+,OilP,Wtmp,Flev,BIN,BOUT,Mode,Erpm,Eflr,Eclt,Eint,Eoil,Einp,Eld,EA8,EA9,EA10,EA11,EA12,EA13,EBI1,EBI2,EBO1,GL16,DEFl,Soot,kWhour,EA14,EA15,EA16,EBO2,VPI1,Reg16,CAN16
-46,C02 - SGC 1617,Time stamp,44409,17:09:00.1,0,1499,28,150,13,0.9,L,50,240,240,240,416,415,416,48,45,43,50,240,240,239,417,416,417,0,0,0,0,47.9,27.3,54.2,0,#####,#####,#####,10100000 1000,10010001 0111,MAN,1499,23.7,77,43,5.08,0.08,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111100 00000000,#####,#####,1364294,#####,#####,#####,0,,,
-47,C01 - SGB 1603,Time stamp,44409,17:09:00.0,0,1499,21,150,10,0.89,L,50,240,240,239,415,415,416,37,35,44,50,240,240,240,417,417,417,0,0,0,0.054,51,28,69.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,MAN,1499,16.2,86,48,4.32,0.02,10,#####,#####,#####,#####,#####,#####,1111,11000000,0,11111100 00000000,,,,,,,,,,
-48,C06 - SGB 1601,Time stamp,44409,17:08:00.3,0,1501,15,-133,-68,0.22,C,50,244,244,244,422,422,424,101,100,87,50,244,244,244,425,425,425,0,0,0,-0.364,57.9,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1501,7,86,50,3.92,0.06,,,,,,,,,,,11111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-49,C05 - SGP 1309,Time stamp,44409,17:08:00.3,0,1499,-15,,-44,-0.33,L,50,243,245,242,422,422,421,66,64,59,50,245,244,244,425,425,425,0,0,0,-0.002,63.7,28,63.4,27.3,#####,#####,#####,00000000 0011,10010010 0001,MAN,1500,16,84,49,4.52,0.06,5,51,#####,#####,27.6,#####,#####,11110000,0,0,,51,276,,#####,#####,#####,0,0,,
-50,C01 - SGB 1603,Time stamp,44409,17:08:00.3,0,1500,-18,-135,-50,-0.35,L,50,241,240,240,416,415,417,77,77,70,50,241,241,240,418,418,418,0,0,0,0.062,51.8,28,69.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,MAN,1500,16.2,86,48,4.48,0.02,7,#####,#####,#####,#####,#####,#####,1111,11000000,0,11111100 00000000,,,,,,,,,,
-51,C04 - SGC 1615,Time stamp,44409,17:08:00.2,0,1499,-40,-130,-36,-0.75,L,50,240,240,241,417,416,417,83,78,84,50,241,240,240,418,419,419,0,0,0,0.058,47.1,27.3,59,0,#####,#####,#####,10100001 0000,10010001 0111,MAN,1500,19.6,74,48,4.96,0.02,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111100 00000000,,,,#####,#####,#####,0,,,
-52,C03 - SGC 1618,Time stamp,44409,17:08:00.2,0,1499,-24,-123,-14,-0.86,L,50,241,240,240,416,416,417,50,46,46,50,241,241,240,418,418,419,0,0,0,0.048,48.6,27.3,60.5,0,#####,#####,#####,00100000 0000,10010001 0111,MAN,1500,20.4,75,47,4.32,0.04,#####,,,,,,,10111100,,11100,11111100 00000000,#####,#####,1992484,,,,,,,
-53,C02 - SGC 1617,Time stamp,44409,17:08:00.1,0,1500,-44,-133,-29,-0.83,L,50,240,240,240,417,416,417,78,77,78,50,241,241,240,418,418,418,0,0,0,0.042,46.1,27.3,53.7,0,#####,#####,#####,10100000 1000,10010001 0111,MAN,1500,20.6,76,43,5.12,0.02,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111100 00000000,#####,#####,1364294,#####,#####,#####,0,,,
-54,C05 - SGP 1309,Time stamp,44409,17:07:00.3,0,1500,7,,4,0.87,L,50,243,244,242,422,421,421,17,21,18,50,245,244,244,425,425,425,0,0,0,0.06,64,28,63.4,27.1,#####,#####,#####,00000000 0011,10010010 0001,MAN,1500,16.2,84,50,4.44,0.04,9,51,#####,#####,27.7,#####,#####,11110000,0,0,,51,277,,#####,#####,#####,0,0,,
-55,C02 - SGC 1617,Time stamp,44409,17:07:00.3,0,1502,9,52,4,0.9,L,50,240,240,240,416,415,417,26,26,26,50,241,240,239,417,417,418,0,0,0,0.004,47.8,27.3,53.7,0,#####,#####,#####,10100000 1000,10010001 0111,MAN,1499,21.5,77,43,5.16,0.06,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111100 00000000,#####,#####,1364294,#####,#####,#####,0,,,
-56,C06 - SGB 1601,Time stamp,44409,17:07:00.2,0,1500,11,53,6,0.87,L,50,245,244,244,423,423,424,33,28,36,50,244,244,244,426,425,425,0,0,0,0.04,57.4,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,6.6,86,51,3.92,0.04,,,,,,,,,,,11111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-57,C04 - SGC 1615,Time stamp,44409,17:07:00.2,0,1501,10,53,4,0.9,L,50,240,240,240,416,415,416,30,33,30,50,240,240,240,417,418,418,0,0,0,0.004,47.9,27.3,59,0,#####,#####,#####,10100001 0000,10010001 0111,MAN,1500,20,75,49,4.84,0.08,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111100 00000000,,,,#####,#####,#####,0,,,
-58,C01 - SGB 1603,Time stamp,44409,17:07:00.2,0,1500,8,57,3,0.93,L,50,240,240,240,415,415,416,25,25,30,50,239,240,239,417,417,417,0,0,0,0.036,51,28,69.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,MAN,1499,16,85,48,4.32,0.02,9,#####,#####,#####,#####,#####,#####,1111,11000000,0,11111100 00000000,,,,,,,,,,
-59,C03 - SGC 1618,Time stamp,44409,17:07:00.1,0,1499,10,48,4,0.92,L,50,240,239,239,415,414,416,26,26,26,50,240,240,240,417,417,418,0,0,0,0.02,49.1,27.3,60.5,0,#####,#####,#####,00100000 0000,10010001 0111,MAN,1499,20.9,75,47,4.28,0.08,#####,,,,,,,10111100,,11100,11111100 00000000,#####,#####,1992484,,,,,,,
-60,C02 - SGC 1617,Time stamp,44409,17:06:00.3,0,1500,17,97,4,0.97,L,50,240,240,240,416,415,416,31,31,31,50,240,240,239,417,417,417,0,0,0,0,47.7,27.3,53.7,0,#####,#####,#####,10100000 1000,10010001 0111,MAN,1500,21.8,76,43,5.24,0.08,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111100 00000000,#####,#####,1364294,#####,#####,#####,0,,,
-61,C06 - SGB 1601,Time stamp,44409,17:06:00.2,0,1500,15,98,4,0.96,L,50,244,244,244,422,423,424,34,34,40,50,244,244,244,425,425,425,0,0,0,0.052,57.3,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1499,7.1,85,51,3.92,0.06,,,,,,,,,,,11111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-62,C01 - SGB 1603,Time stamp,44409,17:06:00.2,0,1499,15,96,5,0.94,L,50,240,240,239,415,415,416,31,30,36,50,240,240,240,417,417,417,0,0,0,0.042,51,28,69.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,MAN,1499,16,86,49,4.4,0.04,10,#####,#####,#####,#####,#####,#####,1111,11000000,0,11111100 00000000,,,,,,,,,,
-63,C05 - SGP 1309,Time stamp,44409,17:06:00.1,0,1499,15,,0,1,R,50,243,244,242,422,421,422,21,28,21,50,245,244,244,424,425,425,0,0,0,0.058,64,28.2,63.4,27.4,#####,#####,#####,00000000 0011,10010010 0001,MAN,1499,16.2,84,50,4.44,0.06,9,51,#####,#####,27.7,#####,#####,11110000,0,0,,51,277,,#####,#####,#####,0,0,,
-64,C04 - SGC 1615,Time stamp,44409,17:06:00.1,0,1499,14,99,4,0.96,L,50,240,240,240,416,415,416,21,21,21,50,240,239,240,417,417,418,0,0,0,0.004,47.9,27.3,59,0,#####,#####,#####,10100001 0000,10010001 0111,MAN,1499,20.7,76,49,4.72,0.08,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111100 00000000,,,,#####,#####,#####,0,,,
