,Controller,Reason,Date,Time,Corr,RPM,Pwr,TotRun,Q,PF,LChr,Gfrq,Vg1,Vg2,Vg3,Vg12,Vg23,Vg31,Ig1,Ig2,Ig3,Bfrq,Vb1,Vb2,Vb3,Vb12,Vb23,Vb31,FC,FMI,OC,SRO,VRO,UBat,CPUT,D+,OilP,Wtmp,Flev,BIN,BOUT,Mode,Erpm,Eflr,Eclt,Eint,Eoil,Einp,Eld,EA8,EA9,EA10,EA11,EA12,EA13,EBI1,EBI2,EBO1,GL16,TotRun,DEFl,Soot,Reg16,CAN16,kWhour
-47,C02 - SGF 1560,Soft load,8/13/2022,9:25:19.2,0,1484,0,,-2,0.27,C,50,240,240,240,416,415,416,88,68,57,50,239,239,239,416,417,417,0,0,0,0.028,53.5,27.8,56.1,28,#####,#####,#####,00100000 0010,10011001 0111,AUT,1504,16,70,44,4.8,0.08,10,#####,#####,#####,#####,#####,#####,101110,,0,10010110 00000000,107,#####,32768,11111110 00000000,11111110 00000000,
-48,C02 - SGF 1560,SyncStarted,8/13/2022,9:25:16.0,0,1501,2,,4,0.52,L,50,243,243,243,420,420,421,0,0,0,50,239,239,239,416,415,416,0,0,0,0,53.4,27.8,56.1,28,#####,#####,#####,00000000 0010,10000101 0111,AUT,1501,16.2,70,44,4.8,0.08,10,#####,#####,#####,#####,#####,#####,101110,,0,10010110 00000000,92,#####,32768,11111110 00000000,11111110 00000000,
-49,C02 - SGF 1560,GCB opened,8/13/2022,9:25:15.9,0,1502,4,,7,0.52,L,50.1,243,243,243,420,420,421,0,0,0,50,239,239,239,416,416,417,0,0,0,0.082,53.4,27.8,56.1,28,#####,#####,#####,00000000 0010,10000101 0111,AUT,1504,16.2,70,44,4.8,0.08,10,#####,#####,#####,#####,#####,#####,101110,,0,11010110 00000000,99,#####,32768,11111110 00000000,11111110 00000000,
-50,C02 - SGF 1560,Soft unload,8/13/2022,9:25:15.5,0,1501,15,,22,0.57,L,50,240,240,240,416,415,417,39,40,37,50,240,240,239,417,417,417,0,0,0,0.05,53.4,27.9,56.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1500,16,70,44,4.8,0.08,11,#####,#####,#####,#####,#####,#####,101110,,0,11010110 00000000,100,#####,32768,11111110 00000000,11111110 00000000,
-51,C06 - SGB 1601,Time stamp,8/13/2022,9:25:00.3,0,1500,15,70,24,0.53,L,50,240,240,240,415,416,417,45,39,45,50,240,240,240,418,418,418,0,0,0,0.03,52.3,28.3,55.6,28.2,,,,10010000 0100,01001100 0011,AUT,1501,7.6,85,48,3.84,0.06,,#####,#####,,,6.88,1.04,,,,11010110 00000000,,,,11111110 00000000,,
-52,C04 - SGC 1615,Time stamp,8/13/2022,9:25:00.2,0,1500,16,69,27,0.51,L,50,240,240,241,417,416,417,59,55,41,50,240,239,240,417,417,418,0,0,0,0.008,46.8,27.3,50.7,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1501,22,75,41,4.68,0.06,#####,,,,,,,10111100,,11100,11010110 00000000,,,,,,
-53,C05 - SGC1616,Time stamp,8/13/2022,9:25:00.2,0,1501,0,72,0,0, ,50,240,240,239,415,414,416,0,0,0,50,240,240,240,417,417,418,0,0,0,0,50,27,51.7,0,#####,#####,#####,10000000 0000,10000001 0001,AUT,1499,21,76,43,4.8,0.06,#####,,,,,,,10111100,,11100,11010110 00000000,,,,,,4147977
-54,C02 - SGF 1560,Time stamp,8/13/2022,9:25:00.2,0,1501,13,,24,0.47,L,50,240,240,240,416,416,417,44,40,37,50,240,239,239,416,416,417,0,0,0,0.064,53.7,27.8,56.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1499,16.2,70,44,4.8,0.06,11,#####,#####,#####,#####,#####,#####,101110,,0,11010110 00000000,121,#####,32768,11111110 00000000,11111110 00000000,
-55,C01 - SGB 1603,Time stamp,8/13/2022,9:25:00.2,0,1499,13,73,20,0.54,L,50,241,240,240,415,416,417,35,35,35,50,240,240,240,417,417,418,0,0,0,0.052,52.3,28,58.6,28.1,#####,#####,#####,10010001 0100,01001100 0011,MAN,1500,16,85,45,4.44,0.02,10,#####,#####,#####,#####,#####,#####,1111,11000000,0,11010110 00000000,,,,,,
-56,C07 - SGJ1500,Time stamp,8/13/2022,9:25:00.1,0,1499,17,73,22,0.62,L,50,240,240,240,416,416,417,47,53,41,50,240,240,241,417,418,418,0,0,0,0.06,52.4,27.7,59.5,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1501,16,86,50,4.32,0.1,10,44,#####,#####,27.6,,,11110000,,0,,,,,,,
