,Controller,Reason,Date,Time,Corr,RPM,Pwr,TotRun,Q,PF,LChr,Gfrq,Vg1,Vg2,Vg3,Vg12,Vg23,Vg31,Ig1,Ig2,Ig3,Bfrq,Vb1,Vb2,Vb3,Vb12,Vb23,Vb31,FC,FMI,OC,SRO,VRO,UBat,CPUT,D+,OilP,Wtmp,Flev,BIN,BOUT,Mode,Erpm,Eflr,Eclt,Eint,Eoil,Einp,Eld,EA8,EA9,EA10,EA11,EA12,EA13,EBI1,EBI2,EBO1,GL16,TotRun,DEFl,Soot,Reg16,CAN16,kWhour
-1960,C01 - SGB 1603,Time stamp,8/3/2022,14:34:00.3,0,1495,130,551,319,0.38,L,49.8,240,240,240,414,414,415,510,448,484,49.8,239,239,240,417,417,417,0,0,0,0.078,53.6,28,67.8,28.1,#####,#####,0,10010001 0100,01001100 0011,AUT,1495,35.2,88,50,4.16,0.2,27,#####,#####,#####,#####,#####,#####,1111,11000000,0,11000110 00000000,,,,,,
-1961,C07 - SGJ1500,Time stamp,8/3/2022,14:34:00.2,0,1498,131,549,314,0.39,L,49.9,241,240,240,416,416,418,510,478,467,49.9,241,241,240,419,418,419,0,0,0,0.104,53,27.6,63,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1497,38.4,87,57,4.12,0.28,28,46,#####,#####,27.7,,,11110000,,0,,,,,,,
-1962,C06 - SGB 1601,Time stamp,8/3/2022,14:34:00.2,0,1497,162,551,361,0.41,L,49.9,240,239,240,415,415,417,603,520,533,49.9,240,239,240,418,418,418,0,0,0,-0.072,53,28.2,61.5,28.2,,,,10010000 0100,01001100 0011,AUT,1495,53.5,87,52,3.36,0.34,,#####,#####,,,6.96,1.32,,,,11000110 00000000,,,,11111110 00000000,,
-1963,C02 - SGF 1560,Time stamp,8/3/2022,14:34:00.0,0,1490,119,,312,0.36,L,49.8,240,240,240,416,415,416,466,433,450,49.8,239,238,238,415,415,415,0,0,0,0.082,50.3,27.8,61,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1494,40.3,88,51,4.56,0.3,29,#####,#####,#####,#####,#####,#####,101110,,0,11000110 00000000,1317,#####,32768,11111110 00000000,11111110 00000000,
-1964,C02 - SGF 1560,Time stamp,8/3/2022,14:33:00.3,0,1500,124,,323,0.36,L,50,239,239,239,414,413,415,506,474,482,50,238,239,238,415,414,415,0,0,0,0.048,50.4,27.8,61,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1500,35.9,88,51,4.44,0.32,31,#####,#####,#####,#####,#####,#####,101110,,0,11000110 00000000,1329,#####,32768,11111110 00000000,11111110 00000000,
-1965,C06 - SGB 1601,Time stamp,8/3/2022,14:33:00.2,0,1501,175,564,367,0.43,L,50,240,239,240,415,415,417,620,539,543,50,240,239,240,418,417,418,0,0,0,-0.008,52.9,28.2,61.5,28.2,,,,10010000 0100,01001100 0011,AUT,1497,57.1,88,53,3.32,0.36,,#####,#####,,,7,1.36,,,,11000110 00000000,,,,11111110 00000000,,
-1966,C01 - SGB 1603,Time stamp,8/3/2022,14:33:00.2,0,1498,135,562,325,0.38,L,50,240,240,240,415,414,416,504,451,479,50,239,240,240,417,417,417,0,0,0,0.006,53.4,28,67.8,28.1,#####,#####,-1,10010001 0100,01001100 0011,AUT,1501,38.6,88,51,4,0.22,32,#####,#####,#####,#####,#####,#####,1111,11000000,0,11000110 00000000,,,,,,
-1967,C07 - SGJ1500,Time stamp,8/3/2022,14:33:00.1,0,1496,129,561,314,0.38,L,50,241,241,241,417,417,418,503,474,457,50,241,240,241,418,418,419,0,0,0,0.062,53,27.6,63,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1498,38,87,57,4.48,0.3,31,46,#####,#####,27.4,,,11110000,,0,,,,,,,
-1968,C02 - SGF 1560,Time stamp,8/3/2022,14:32:00.3,0,1499,225,,318,0.58,L,49.9,239,239,239,414,413,413,549,522,524,49.9,238,238,238,415,414,414,0,0,0,0.046,50.1,27.8,61,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1496,54.8,88,52,4.4,0.7,44,#####,#####,#####,#####,#####,#####,101110,,0,11000110 00000000,1304,#####,32768,11111110 00000000,11111110 00000000,
-1969,C06 - SGB 1601,Time stamp,8/3/2022,14:32:00.1,0,1501,272,944,365,0.6,L,50.1,240,240,241,415,416,418,690,605,611,50.1,240,239,241,418,418,419,0,0,0,0.104,52.7,28.2,61.5,28.2,,,,10010000 0100,01001100 0011,AUT,1500,85,88,53,3.24,0.76,,#####,#####,,,6.88,1.76,,,,11000110 00000000,,,,11111110 00000000,,
-1970,C01 - SGB 1603,Time stamp,8/3/2022,14:32:00.1,0,1502,219,936,308,0.58,L,50.1,240,240,240,415,415,416,548,492,521,50.1,240,240,240,417,417,417,0,0,0,0.082,54.1,28,67.8,28.1,#####,#####,0,10010001 0100,01001100 0011,AUT,1504,58,89,51,3.88,0.52,46,#####,#####,#####,#####,#####,#####,1111,11000000,0,11000110 00000000,,,,,,
-1971,C07 - SGJ1500,Time stamp,8/3/2022,14:32:00.0,0,1502,227,944,314,0.59,L,50,241,241,240,417,416,418,572,545,521,50,241,240,241,418,418,419,0,0,0,0.072,53.5,27.7,63,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1502,58,87,56,3.92,0.66,46,46,#####,#####,27.5,,,11110000,,0,,,,,,,
-1972,C07 - SGJ1500,Time stamp,8/3/2022,14:31:00.3,0,1497,246,1014,311,0.62,L,49.9,241,240,240,416,416,418,577,549,531,49.9,240,240,241,418,418,418,0,0,0,0.098,53.7,27.7,63.4,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1498,62.6,88,56,4.4,0.68,48,46,#####,#####,27.5,,,11110000,,0,,,,,,,
-1973,C02 - SGF 1560,Time stamp,8/3/2022,14:31:00.2,0,1496,239,,310,0.61,L,49.9,239,239,239,415,414,415,571,545,543,49.9,239,239,238,415,415,415,0,0,0,0.072,50,27.7,61,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1498,61.1,88,52,4.36,0.72,46,#####,#####,#####,#####,#####,#####,101110,,0,11000110 00000000,1315,#####,32768,11111110 00000000,11111110 00000000,
-1974,C06 - SGB 1601,Time stamp,8/3/2022,14:31:00.1,0,1498,277,1014,369,0.6,L,49.9,239,239,240,414,414,416,688,603,606,49.9,239,239,240,418,417,418,0,0,0,-0.002,52.7,28.2,61.5,28.2,,,,10010000 0100,01001100 0011,AUT,1494,84.5,88,53,3.24,0.76,,#####,#####,,,6.88,1.74,,,,11000110 00000000,,,,11111110 00000000,,
-1975,C01 - SGB 1603,Time stamp,8/3/2022,14:31:00.0,0,1501,249,1005,320,0.61,L,49.9,239,239,239,414,414,415,605,546,573,49.9,239,240,240,417,417,417,0,0,0,0.072,53.8,28,67.8,28.1,#####,#####,0,10010001 0100,01001100 0011,AUT,1496,62.2,89,51,3.96,0.58,48,#####,#####,#####,#####,#####,#####,1111,11000000,0,11000110 00000000,,,,,,
-1976,C06 - SGB 1601,Time stamp,8/3/2022,14:30:00.3,0,1497,267,936,360,0.59,L,50,240,240,240,416,416,417,677,595,598,50,240,239,241,418,418,419,0,0,0,-0.076,52.7,28.2,61.5,28.2,,,,10010000 0100,01001100 0011,AUT,1498,83.9,88,52,3.24,0.74,,#####,#####,,,6.92,1.74,,,,11000110 00000000,,,,11111110 00000000,,
-1977,C07 - SGJ1500,Time stamp,8/3/2022,14:30:00.2,0,1500,219,926,313,0.57,L,50,241,240,240,416,415,418,566,543,518,50,240,240,240,418,418,419,0,0,0,0.136,53.8,27.7,63,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1502,56.3,88,56,4.28,0.6,46,46,#####,#####,27.4,,,11110000,,0,,,,,,,
-1978,C02 - SGF 1560,Time stamp,8/3/2022,14:30:00.2,0,1498,220,,315,0.57,L,50,239,239,239,414,414,415,561,538,538,50,239,238,238,415,414,415,0,0,0,0.112,49.5,27.8,61,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1499,56.5,88,52,4.4,0.64,44,#####,#####,#####,#####,#####,#####,101110,,0,11000110 00000000,1310,#####,32768,11111110 00000000,11111110 00000000,
-1979,C01 - SGB 1603,Time stamp,8/3/2022,14:30:00.2,0,1500,229,936,315,0.59,L,50,240,240,239,415,414,415,569,514,542,50,239,239,240,417,417,417,0,0,0,0.074,53.9,28,67.8,28.1,#####,#####,0,10010001 0100,01001100 0011,AUT,1501,61.6,89,50,4,0.5,48,#####,#####,#####,#####,#####,#####,1111,11000000,0,11000110 00000000,,,,,,
-1980,C06 - SGB 1601,Time stamp,8/3/2022,14:29:00.2,0,1501,236,782,348,0.56,L,50,240,239,240,415,415,417,649,573,575,50,240,239,240,418,417,418,0,0,0,-0.074,52.7,28.3,61.5,28.2,,,,10010000 0100,01001100 0011,AUT,1500,73.7,88,52,3.28,0.6,,#####,#####,,,6.88,1.6,,,,11000110 00000000,,,,11111110 00000000,,
-1981,C01 - SGB 1603,Time stamp,8/3/2022,14:29:00.2,0,1503,189,783,317,0.51,L,50,240,240,240,415,414,416,547,494,521,50,239,239,240,417,416,417,0,0,0,0.082,53.8,28,67.8,28.1,#####,#####,0,10010001 0100,01001100 0011,AUT,1503,49.9,89,50,4.04,0.4,40,#####,#####,#####,#####,#####,#####,1111,11000000,0,11000110 00000000,,,,,,
-1982,C07 - SGJ1500,Time stamp,8/3/2022,14:29:00.1,0,1501,178,789,310,0.5,L,50.1,241,240,240,416,416,418,513,493,469,50.1,241,240,241,418,418,419,0,0,0,0.106,53.5,27.7,63,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1500,46.7,88,56,4.36,0.5,38,46,#####,#####,27.3,,,11110000,,0,,,,,,,
-1983,C02 - SGF 1560,Time stamp,8/3/2022,14:29:00.1,0,1501,186,,317,0.51,L,50,239,239,239,414,414,415,522,503,504,50,239,238,238,415,415,415,0,0,0,0.078,49.5,27.8,61,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1500,48.4,88,51,4.44,0.54,38,#####,#####,#####,#####,#####,#####,101110,,0,11000110 00000000,1284,#####,32768,11111110 00000000,11111110 00000000,
-1984,C06 - SGB 1601,Time stamp,8/3/2022,14:28:00.2,0,1499,212,820,358,0.51,L,50,240,239,240,415,415,417,623,550,552,50,240,239,240,418,417,418,0,0,0,0.058,52.5,28.2,61.5,28.2,,,,10010000 0100,01001100 0011,AUT,1499,66.5,88,52,3.32,0.5,,#####,#####,,,6.84,1.5,,,,11000110 00000000,,,,11111110 00000000,,
-1985,C01 - SGB 1603,Time stamp,8/3/2022,14:28:00.2,0,1501,204,817,302,0.56,L,50,240,240,240,415,415,416,536,484,512,50,239,240,240,418,416,416,0,0,0,0.066,53.8,28,67.8,28.1,#####,#####,-1,10010001 0100,01001100 0011,AUT,1500,53.7,88,50,4.04,0.44,43,#####,#####,#####,#####,#####,#####,1111,11000000,0,11000110 00000000,,,,,,
-1986,C07 - SGJ1500,Time stamp,8/3/2022,14:28:00.1,0,1502,201,822,297,0.56,L,50,241,240,240,416,415,417,520,502,479,50,240,240,240,418,418,418,0,0,0,0.084,53.3,27.7,63.4,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1501,50.9,87,56,3.96,0.54,40,46,#####,#####,27.7,,,11110000,,0,,,,,,,
-1987,C02 - SGF 1560,Time stamp,8/3/2022,14:28:00.1,0,1502,202,,298,0.56,L,50,239,239,239,414,414,414,525,502,504,50,238,239,238,415,415,415,0,0,0,0.076,49.8,27.8,61,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1501,52.6,88,51,4.44,0.58,41,#####,#####,#####,#####,#####,#####,101110,,0,11000110 00000000,1257,#####,32768,11111110 00000000,11111110 00000000,
-1988,C02 - SGF 1560,Time stamp,8/3/2022,14:27:00.3,0,1503,114,,299,0.36,L,50.1,239,239,240,415,414,415,463,439,441,50.1,239,239,239,416,415,416,0,0,0,0.104,49.8,27.7,61,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1503,34.6,88,51,4.48,0.32,29,#####,#####,#####,#####,#####,#####,101110,,0,11000110 00000000,1221,#####,32768,11111110 00000000,11111110 00000000,
-1989,C06 - SGB 1601,Time stamp,8/3/2022,14:27:00.2,0,1502,180,539,327,0.48,L,50.1,240,240,241,416,416,418,553,491,496,50.1,240,239,241,418,418,419,0,0,0,-0.144,52.9,28.3,61.5,28.2,,,,10010000 0100,01001100 0011,AUT,1502,57,88,52,3.36,0.44,,#####,#####,,,7,1.42,,,,11000110 00000000,,,,11111110 00000000,,
-1990,C01 - SGB 1603,Time stamp,8/3/2022,14:27:00.1,0,1502,124,537,297,0.38,L,50.1,240,240,240,415,415,416,473,424,450,50.1,240,240,240,417,417,417,0,0,0,0.03,53.9,28,67.8,28.1,#####,#####,0,10010001 0100,01001100 0011,AUT,1502,33.3,88,50,4.04,0.26,30,#####,#####,#####,#####,#####,#####,1111,11000000,0,11000110 00000000,,,,,,
-1991,C07 - SGJ1500,Time stamp,8/3/2022,14:27:00.0,0,1505,115,539,298,0.36,L,50.1,241,240,240,417,416,418,465,444,425,50.1,241,240,241,419,418,419,0,0,0,0.116,52.9,27.7,63,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1503,33.6,87,56,4.2,0.32,29,47,#####,#####,27.6,,,11110000,,0,,,,,,,
-1992,C06 - SGB 1601,Time stamp,8/3/2022,14:26:00.3,0,1499,182,814,353,0.46,L,50.1,240,240,240,416,416,417,587,517,522,50.1,240,239,240,418,418,418,0,0,0,0.12,52.5,28.2,61.5,28.2,,,,10010000 0100,01001100 0011,AUT,1500,58,88,52,3.32,0.42,,#####,#####,,,6.88,1.42,,,,11000110 00000000,,,,11111110 00000000,,
-1993,C07 - SGJ1500,Time stamp,8/3/2022,14:26:00.2,0,1502,208,804,304,0.57,L,50,241,240,240,417,416,418,540,518,497,50,241,240,241,418,418,419,0,0,0,0.008,53.3,27.6,63.4,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1503,51.4,87,56,3.96,0.6,42,47,#####,#####,27.5,,,11110000,,0,,,,,,,
-1994,C01 - SGB 1603,Time stamp,8/3/2022,14:26:00.1,0,1500,218,832,307,0.58,L,50,240,240,240,416,415,416,555,503,532,50,239,240,240,417,417,417,0,0,0,0.026,53.9,28,67.8,28.1,#####,#####,0,10010001 0100,01001100 0011,AUT,1499,58.4,89,50,4.08,0.48,46,#####,#####,#####,#####,#####,#####,1111,11000000,0,11000110 00000000,,,,,,
-1995,C02 - SGF 1560,Time stamp,8/3/2022,14:26:00.0,0,1503,202,,300,0.56,L,50.1,239,240,239,415,414,415,522,501,503,50.1,239,239,239,416,415,416,0,0,0,0.012,49.9,27.7,61,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1503,52.8,88,51,4.4,0.62,43,#####,#####,#####,#####,#####,#####,101110,,0,11000110 00000000,1263,#####,32768,11111110 00000000,11111110 00000000,
-1996,C06 - SGB 1601,Time stamp,8/3/2022,14:25:00.3,0,1496,206,839,365,0.49,L,50,240,240,240,415,415,417,628,545,557,50,240,239,240,417,417,418,0,0,0,0.212,52.5,28.3,61.5,28.2,,,,10010000 0100,01001100 0011,AUT,1498,65.1,87,52,3.32,0.48,,#####,#####,,,7,1.46,,,,11000110 00000000,,,,11111110 00000000,,
-1997,C02 - SGF 1560,Time stamp,8/3/2022,14:25:00.3,0,1500,209,,305,0.56,L,50,239,239,239,414,414,414,541,513,518,50,238,238,238,415,415,415,0,0,0,0.008,50.3,27.8,61,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1500,53.5,88,51,4.4,0.58,43,#####,#####,#####,#####,#####,#####,101110,,0,11000110 00000000,1295,#####,32768,11111110 00000000,11111110 00000000,
-1998,C07 - SGJ1500,Time stamp,8/3/2022,14:25:00.1,0,1497,207,837,306,0.56,L,50,241,241,240,417,416,418,519,494,477,50,240,240,240,418,418,418,0,0,0,0.018,53,27.6,63.4,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1498,51.6,87,57,4.28,0.56,41,47,#####,#####,27.3,,,11110000,,0,,,,,,,
-1999,C01 - SGB 1603,Time stamp,8/3/2022,14:25:00.0,0,1500,201,801,315,0.54,L,50,240,240,240,415,414,416,557,500,534,50,239,240,240,417,417,417,0,0,0,0.062,53.6,28,67.8,28.1,#####,#####,0,10010001 0100,01001100 0011,AUT,1502,54.8,88,50,4.16,0.42,45,#####,#####,#####,#####,#####,#####,1111,11000000,0,11000110 00000000,,,,,,
-2000,C01 - SGB 1603,Time stamp,8/3/2022,14:24:00.3,0,1502,154,641,303,0.45,L,50,240,240,240,415,414,416,507,453,481,50,239,240,240,417,417,417,0,0,0,0.042,53.8,28,67.8,28.1,#####,#####,0,10010001 0100,01001100 0011,AUT,1502,42.2,88,50,4.04,0.3,36,#####,#####,#####,#####,#####,#####,1111,11000000,0,11000110 00000000,,,,,,
-2001,C06 - SGB 1601,Time stamp,8/3/2022,14:24:00.2,0,1504,192,620,343,0.49,L,50.1,241,240,240,416,416,418,601,530,536,50.1,240,240,241,419,418,419,0,0,0,-0.056,52.8,28.2,61.5,28.2,,,,10010000 0100,01001100 0011,AUT,1503,60.5,88,52,3.36,0.46,,#####,#####,,,7.04,1.44,,,,11000110 00000000,,,,11111110 00000000,,
-2002,C02 - SGF 1560,Time stamp,8/3/2022,14:24:00.2,0,1500,142,,311,0.42,L,50.1,239,239,239,415,414,415,489,460,466,50.1,239,239,239,416,415,415,0,0,0,0.082,49.8,27.8,61,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1500,38.4,88,51,4.48,0.4,32,#####,#####,#####,#####,#####,#####,101110,,0,11000110 00000000,1252,#####,32768,11111110 00000000,11111110 00000000,
-2003,C07 - SGJ1500,Time stamp,8/3/2022,14:24:00.1,0,1500,146,631,298,0.44,L,50.1,241,241,240,417,417,418,475,452,439,50.1,241,241,241,419,419,419,0,0,0,0.104,53.1,27.6,63,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1502,38.9,87,56,4.2,0.38,32,47,#####,#####,27.5,,,11110000,,0,,,,,,,
-2004,C07 - SGJ1500,Time stamp,8/3/2022,14:23:00.3,0,1500,192,771,302,0.54,L,49.9,240,240,239,416,415,416,533,509,489,49.9,240,240,240,418,418,418,0,0,0,0.122,53.2,27.6,63.4,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1499,49.2,87,56,4.4,0.46,41,47,#####,#####,27.7,,,11110000,,0,,,,,,,
-2005,C02 - SGF 1560,Time stamp,8/3/2022,14:23:00.2,0,1498,195,,295,0.55,L,50,239,239,239,415,413,415,517,491,497,50,238,239,238,415,415,414,0,0,0,0.084,49.6,27.8,61,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1499,53.1,88,51,4.52,0.5,42,#####,#####,#####,#####,#####,#####,101110,,0,11000110 00000000,1261,#####,32768,11111110 00000000,11111110 00000000,
-2006,C01 - SGB 1603,Time stamp,8/3/2022,14:23:00.2,0,1493,183,761,312,0.51,L,49.8,240,240,240,415,415,416,533,478,507,49.8,239,240,240,417,417,417,0,0,0,0.118,53.6,28,67.8,28.1,#####,#####,0,10010001 0100,01001100 0011,AUT,1494,51,88,50,4,0.3,40,#####,#####,#####,#####,#####,#####,1111,11000000,0,11000110 00000000,,,,,,
-2007,C06 - SGB 1601,Time stamp,8/3/2022,14:23:00.1,0,1495,200,778,361,0.49,L,49.9,240,239,240,415,415,417,625,547,550,49.9,240,239,240,418,417,418,0,0,0,-0.082,52.7,28.2,61.5,28.2,,,,10010000 0100,01001100 0011,AUT,1494,63.6,88,51,3.36,0.46,,#####,#####,,,6.92,1.46,,,,11000110 00000000,,,,11111110 00000000,,
-2008,C07 - SGJ1500,Time stamp,8/3/2022,14:22:00.3,0,1505,123,578,311,0.37,L,50.1,241,240,240,417,416,419,492,466,449,50.1,241,240,241,419,418,419,0,0,0,0.108,52.6,27.7,63,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1505,35,87,56,4.16,0.34,30,47,#####,#####,27.1,,,11110000,,0,,,,,,,
-2009,C02 - SGF 1560,Time stamp,8/3/2022,14:22:00.2,0,1501,128,,322,0.37,L,50.2,240,240,240,415,415,416,499,469,471,50.2,239,239,239,416,415,416,0,0,0,0.13,49.9,27.7,61,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1503,38.9,88,51,4.52,0.38,32,#####,#####,#####,#####,#####,#####,101110,,0,11000110 00000000,1296,#####,32768,11111110 00000000,11111110 00000000,
-2010,C06 - SGB 1601,Time stamp,8/3/2022,14:22:00.1,0,1503,202,595,351,0.5,L,50.1,240,240,241,416,416,418,625,548,553,50.1,240,240,241,419,418,419,0,0,0,-0.052,52.8,28.3,61.5,28.2,,,,10010000 0100,01001100 0011,AUT,1504,64.3,87,51,3.36,0.48,,#####,#####,,,6.92,1.48,,,,11000110 00000000,,,,11111110 00000000,,
-2011,C01 - SGB 1603,Time stamp,8/3/2022,14:22:00.1,0,1501,149,638,313,0.43,L,50.1,240,240,240,415,416,416,508,453,483,50.1,240,240,240,417,417,417,0,0,0,0.064,53.8,28,67.8,28.1,#####,#####,0,10010001 0100,01001100 0011,AUT,1502,40.3,87,50,4.2,0.28,34,#####,#####,#####,#####,#####,#####,1111,11000000,0,11000110 00000000,,,,,,
-2012,C06 - SGB 1601,Time stamp,8/3/2022,14:21:00.3,0,1500,136,626,373,0.34,L,50,240,239,240,415,416,417,598,516,526,50,240,239,240,418,417,418,0,0,0,0.07,52.6,28.3,61.5,28.2,,,,10010000 0100,01001100 0011,AUT,1496,42.8,87,52,3.4,0.26,,#####,#####,,,7.04,1.26,,,,11000110 00000000,,,,11111110 00000000,,
-2013,C07 - SGJ1500,Time stamp,8/3/2022,14:21:00.1,0,1498,157,603,311,0.45,L,50,241,241,240,417,417,419,513,490,473,50,241,241,241,419,418,419,0,0,0,0.018,52.6,27.6,63,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1501,41.2,87,57,4,0.38,34,47,#####,#####,27.6,,,11110000,,0,,,,,,,
-2014,C02 - SGF 1560,Time stamp,8/3/2022,14:21:00.0,0,1497,159,,300,0.47,L,50,239,240,240,415,415,415,488,460,473,50,239,239,239,416,415,415,0,0,0,0.03,50.3,27.8,61,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1498,43.1,88,51,4.44,0.42,36,#####,#####,#####,#####,#####,#####,101110,,0,11000110 00000000,1303,#####,32768,11111110 00000000,11111110 00000000,
-2015,C01 - SGB 1603,Time stamp,8/3/2022,14:21:00.0,0,1499,158,594,319,0.44,L,49.9,240,240,239,415,415,415,510,459,488,49.9,239,239,240,417,417,417,0,0,0,0.046,53.3,28,67.8,28.1,#####,#####,0,10010001 0100,01001100 0011,AUT,1499,43.1,88,50,4.2,0.26,35,#####,#####,#####,#####,#####,#####,1111,11000000,0,11000110 00000000,,,,,,
-2016,C06 - SGB 1601,Time stamp,8/3/2022,14:20:00.3,0,1498,175,647,371,0.43,L,49.9,240,239,240,415,415,417,628,548,555,49.9,240,239,240,418,417,418,0,0,0,-0.328,52.8,28.2,61.5,28.2,,,,10010000 0100,01001100 0011,AUT,1497,56.2,88,52,3.32,0.42,,#####,#####,,,6.88,1.42,,,,11000110 00000000,,,,11111110 00000000,,
-2017,C02 - SGF 1560,Time stamp,8/3/2022,14:20:00.3,0,1498,165,,305,0.48,L,50,239,239,239,414,413,414,509,483,488,50,239,239,238,416,415,415,0,0,0,0.11,49.7,27.8,61,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1499,43.5,88,52,4.48,0.38,36,#####,#####,#####,#####,#####,#####,101110,,0,11000110 00000000,1306,#####,32768,11111110 00000000,11111110 00000000,
-2018,C01 - SGB 1603,Time stamp,8/3/2022,14:20:00.3,0,1501,145,630,320,0.41,L,49.9,239,239,239,414,414,415,514,459,485,49.9,239,239,240,417,417,417,0,0,0,0.166,53.4,28,67.8,28.1,#####,#####,0,10010001 0100,01001100 0011,AUT,1496,35.9,88,50,4.04,0.2,31,#####,#####,#####,#####,#####,#####,1111,11000000,0,11000110 00000000,,,,,,
-2019,C07 - SGJ1500,Time stamp,8/3/2022,14:20:00.1,0,1496,159,655,309,0.46,L,49.9,241,240,240,416,416,418,498,475,454,49.9,241,240,241,418,418,419,0,0,0,0.128,53,27.7,63,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1495,42.3,88,56,4.48,0.32,32,47,#####,#####,27.5,,,11110000,,0,,,,,,,
-2020,C01 - SGB 1603,Time stamp,8/3/2022,14:19:00.3,0,1504,152,627,314,0.43,L,50.4,241,241,241,417,417,418,504,457,484,50.4,240,240,241,418,417,418,0,0,0,-0.032,54,28,67.8,28.1,#####,#####,0,10010001 0100,01001100 0011,AUT,1511,41.8,88,50,4,0.4,36,#####,#####,#####,#####,#####,#####,1111,11000000,0,11000110 00000000,,,,,,
-2021,C02 - SGF 1560,Time stamp,8/3/2022,14:19:00.2,0,1508,118,,324,0.34,L,50.3,240,239,240,415,414,416,500,472,481,50.3,239,239,239,417,415,416,0,0,0,0.042,49.9,27.8,61,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1508,33.1,88,52,4.44,0.44,28,#####,#####,#####,#####,#####,#####,101110,,0,11000110 00000000,1307,#####,32768,11111110 00000000,11111110 00000000,
-2022,C07 - SGJ1500,Time stamp,8/3/2022,14:19:00.1,0,1509,133,584,320,0.38,L,50.3,241,240,240,417,416,418,510,485,468,50.3,241,240,241,419,418,420,0,0,0,0.06,52.7,27.6,63.4,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1510,35.9,87,56,4.04,0.46,33,47,#####,#####,27.5,,,11110000,,0,,,,,,,
-2023,C06 - SGB 1601,Time stamp,8/3/2022,14:19:00.1,0,1509,186,588,354,0.47,L,50.2,240,240,241,415,416,418,590,520,524,50.2,240,239,240,419,417,419,0,0,0,0.028,52.7,28.2,61.5,28.2,,,,10010000 0100,01001100 0011,AUT,1508,58.3,88,52,3.36,0.46,,#####,#####,,,6.96,1.44,,,,11000110 00000000,,,,11111110 00000000,,
-2024,C02 - SGF 1560,Time stamp,8/3/2022,14:18:00.2,0,1496,178,,311,0.5,L,49.9,239,239,239,415,414,415,509,482,489,49.9,239,239,238,416,415,415,0,0,0,0.058,50.1,27.8,61,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1495,47.5,88,52,4.4,0.44,37,#####,#####,#####,#####,#####,#####,101110,,0,11000110 00000000,1307,#####,32768,11111110 00000000,11111110 00000000,
-2025,C01 - SGB 1603,Time stamp,8/3/2022,14:18:00.2,0,1497,168,697,323,0.46,L,50,240,240,240,415,415,416,529,478,503,50,239,240,240,417,417,417,0,0,0,0.058,53.6,28,67.8,28.1,#####,#####,0,10010001 0100,01001100 0011,AUT,1501,47.8,88,50,4.12,0.3,36,#####,#####,#####,#####,#####,#####,1111,11000000,0,11000110 00000000,,,,,,
-2026,C06 - SGB 1601,Time stamp,8/3/2022,14:18:00.1,0,1499,209,725,362,0.5,L,49.9,240,239,240,415,416,417,648,568,572,49.9,240,239,241,418,417,419,0,0,0,0.062,52.8,28.3,61.5,28.2,,,,10010000 0100,01001100 0011,AUT,1497,65.1,87,52,3.36,0.48,,#####,#####,,,6.88,1.48,,,,11000110 00000000,,,,11111110 00000000,,
-2027,C07 - SGJ1500,Time stamp,8/3/2022,14:18:00.0,0,1498,172,727,314,0.48,L,49.9,241,240,240,416,416,417,519,497,478,49.9,240,240,241,418,418,419,0,0,0,0.082,52.6,27.7,63,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1497,44.8,87,56,4.16,0.4,36,47,#####,#####,27.7,,,11110000,,0,,,,,,,
